scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Aquilaria malaccensis,2018-04-27 08:12:42 +0800,,"Selangor, MY",3.1747181481,101.5860507329,"",Agarwood,https://www.inaturalist.org/observations/11466894,https://static.inaturalist.org/photos/16362958/medium.jpg,munirah15,11466894,Aquilaria malaccensis,Plantae,189370,1,0,Fri Apr 27 2018 08:12:42 GMT+0800 (GMT+8),2018-04-27,2018-04-27 00:12:42 UTC,Australia/Perth,16,31428,,obscured,true,,,896611,,2018-04-27 00:12:57 UTC,2019-05-26 00:33:31 UTC,research,,,3,false
Aquilaria malaccensis,2018-04-27 08:12:38 +0800,,"Selangor, MY",3.0880768755,101.4932360598,"",Agarwood,https://www.inaturalist.org/observations/11466901,https://static.inaturalist.org/photos/16363004/medium.jpg,aisyasyahhh,11466901,Aquilaria malaccensis,Plantae,189370,1,0,Fri Apr 27 2018 08:12:38 GMT+0800 (GMT+8),2018-04-27,2018-04-27 00:12:38 UTC,Australia/Perth,8,31428,,obscured,true,,,903865,,2018-04-27 00:13:22 UTC,2019-05-26 00:33:53 UTC,research,,,3,false
Aquilaria malaccensis,2018-04-27 08:13:43 +0800,,"Selangor, MY",3.0549874828,101.5307471356,"",Agarwood,https://www.inaturalist.org/observations/11467009,https://inaturalist-open-data.s3.amazonaws.com/photos/16363158/medium.jpeg,arika_iman,11467009,Aquilaria malaccensis,Plantae,189370,1,0,2018-04-27 8:13:43 am GMT+08:00,2018-04-27,2018-04-27 00:13:43 UTC,Australia/Perth,7,31428,,obscured,true,,,906801,"",2018-04-27 00:17:02 UTC,2019-05-26 00:34:03 UTC,research,CC-BY-NC,,2,false
Aquilaria malaccensis,2018-04-27 08:14:19 +0800,,"Selangor, MY",3.0267213508,101.5539103263,"",Agarwood,https://www.inaturalist.org/observations/11475587,https://static.inaturalist.org/photos/16378060/medium.jpeg,wanelis,11475587,Aquilaria malaccensis,Plantae,189370,1,0,2018-04-27 8:14:19 AM GMT+08:00,2018-04-27,2018-04-27 00:14:19 UTC,Australia/Perth,95,31428,,obscured,true,,,903949,Wan Elis Batrisyia,2018-04-27 04:40:09 UTC,2019-05-26 00:34:14 UTC,research,,,2,false
Aquilaria malaccensis,2006-01-01 00:00:00 +0800,Gaharu collectors had cut away at part of the trunk,Malaysia,3.0725637926,101.6124211327,"",Agarwood,https://www.inaturalist.org/observations/19683839,https://inaturalist-open-data.s3.amazonaws.com/photos/30318430/medium.jpg,teckwyn,19683839,Aquilaria malaccensis,Plantae,189370,1,0,2006-01-01,2006-01-01,,Kuala Lumpur,220,31428,,obscured,true,,,1414549,Lim Teck Wyn,2019-01-17 00:18:42 UTC,2019-01-19 16:18:27 UTC,research,CC-BY-NC,,,false
Aquilaria malaccensis,2019-02-23 16:29:49 +0800,,Malaysia,5.4929598699,100.3441571782,"",Agarwood,https://www.inaturalist.org/observations/20631144,https://static.inaturalist.org/photos/31829577/medium.jpg,bryanteh,20631144,Aquilaria malaccensis,Plantae,189370,1,0,Sat Feb 23 2019 16:29:49 GMT+0800 (GMT+8),2019-02-23,2019-02-23 08:29:49 UTC,Australia/Perth,5,31379,,obscured,true,,,1483427,Bryan Teh,2019-02-23 09:57:20 UTC,2019-05-05 09:34:08 UTC,research,,,3,false
Aquilaria malaccensis,2019-02-23 18:45:01 +0800,,Malaysia,5.4002534688,100.2946161133,"",Agarwood,https://www.inaturalist.org/observations/20665207,https://static.inaturalist.org/photos/31869575/medium.jpeg,femi1,20665207,Aquilaria malaccensis,Plantae,189370,1,0,2019-02-23 6:45:01 pm GMT+08:00,2019-02-23,2019-02-23 10:45:01 UTC,Australia/Perth,,31379,,obscured,true,gps,gps,1489682,Femi Chee,2019-02-23 13:37:47 UTC,2019-05-05 09:33:42 UTC,research,,,2,false
Aquilaria malaccensis,2019-04-26 14:09:19 +0800,,Malaysia,5.2918317593,100.3100381384,"",Agarwood,https://www.inaturalist.org/observations/23105949,https://static.inaturalist.org/photos/35821808/medium.jpeg,nadine4,23105949,Aquilaria malaccensis,Plantae,189370,1,0,2019-04-26 2:09:19 pm GMT+08:00,2019-04-26,2019-04-26 06:09:19 UTC,Australia/Perth,,31384,,obscured,true,gps,gps,233840,Nadine Ruppert,2019-04-26 08:00:31 UTC,2019-06-08 12:58:33 UTC,research,,,2,false
Aquilaria malaccensis,2019-04-27 09:49:26 +0800,,"Selangor, MY",3.1151825256,101.5960053855,"",Agarwood,https://www.inaturalist.org/observations/23277622,https://inaturalist-open-data.s3.amazonaws.com/photos/36067966/medium.jpeg,jjason,23277622,Aquilaria malaccensis,Plantae,189370,1,0,2019-04-27 9:49:26 am GMT+08:00,2019-04-27,2019-04-27 01:49:26 UTC,Australia/Perth,6,31428,,obscured,true,,,1656583,,2019-04-27 01:50:16 UTC,2019-05-05 09:32:17 UTC,research,CC-BY-NC,,2,false
Aquilaria malaccensis,2019-04-27 17:28:00 +0800,,Malaysia,2.9575643728,101.6139990326,"",Agarwood,https://www.inaturalist.org/observations/23426313,https://inaturalist-open-data.s3.amazonaws.com/photos/36278083/medium.jpeg,tansh91,23426313,Aquilaria malaccensis,Plantae,189370,1,0,2019/04/27 5:28 PM +08,2019-04-27,2019-04-27 09:28:00 UTC,Kuala Lumpur,341,31431,,obscured,true,,,670650,"",2019-04-27 18:07:47 UTC,2019-05-05 09:31:19 UTC,research,CC-BY-NC,,,false
