scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Avicennia officinalis,2020-01-19 08:37:43 +0800,Swamp land,"Bandar Sarikei, 96100 Sarikei, Sarawak, Malaysia",2.1275579929,111.5246582031,"",Indian Mangrove,https://www.inaturalist.org/observations/37744190,https://inaturalist-open-data.s3.amazonaws.com/photos/59897871/medium.jpeg,ongzi,37744190,Avicennia officinalis,Plantae,189587,0,0,2020-01-19 8:37:43 AM GMT+08:00,2020-01-19,2020-01-19 00:37:43 UTC,Kuala Lumpur,,,,open,false,gps,gps,890554,Ong Jyh Seng,2020-01-19 14:09:16 UTC,2020-02-16 13:26:15 UTC,needs_id,CC-BY-SA,,2,false
Avicennia officinalis,2020-08-26 14:00:00 +0800,"","Tawau, MY-SA, MY",4.2569472,118.07835,"",Indian Mangrove,https://www.inaturalist.org/observations/58307603,https://inaturalist-open-data.s3.amazonaws.com/photos/93076261/medium.jpeg,kamallia,58307603,Avicennia officinalis,Plantae,189587,1,0,2020/08/26 2:00 PM +0800,2020-08-26,2020-08-26 06:00:00 UTC,Kuala Lumpur,310,310,,open,false,,,2432340,Kamallia,2020-09-02 04:12:04 UTC,2020-09-25 04:37:53 UTC,research,CC-BY-NC,,,false
Avicennia officinalis,2018-01-13 14:41:00 +0800,"",말레이시아 멜라카,2.186155789,102.2456214568,"",Indian Mangrove,https://www.inaturalist.org/observations/63532949,https://inaturalist-open-data.s3.amazonaws.com/photos/101975045/medium.jpg,onidiras,63532949,Avicennia officinalis,Plantae,189587,1,0,2018/01/13 2:41 PM +0800,2018-01-13,2018-01-13 06:41:00 UTC,Kuala Lumpur,463,463,,open,false,,,2027679,onidiras-iNaturalist,2020-10-25 23:57:11 UTC,2020-10-26 07:21:02 UTC,research,CC-BY-NC,,,false
Avicennia officinalis,2021-05-03 11:55:00 UTC,"","81500 Pekan Nanas, Johor, Malaysia",1.4527995446,103.4943580079,"",Indian Mangrove,https://www.inaturalist.org/observations/77268839,https://static.inaturalist.org/photos/126357649/medium.jpeg,blum-ww,77268839,Indian Mangrove,Plantae,189587,1,0,2021/05/03 11:55 AM UTC,2021-05-03,2021-05-03 11:55:00 UTC,UTC,1953,1953,,open,false,,,2602723,Lum ww,2021-05-04 14:05:54 UTC,2025-05-26 14:29:48 UTC,research,,,,false
Avicennia officinalis,2023-06-27 15:39:32 +0800,,"Sarikei, Sarawak, Malaysia",2.1222111111,111.5360333333,"",Indian Mangrove,https://www.inaturalist.org/observations/169744892,https://inaturalist-open-data.s3.amazonaws.com/photos/294317155/medium.jpeg,ongzi,169744892,Indian Mangrove,Plantae,189587,2,0,2023-06-27 15:39:32,2023-06-27,2023-06-27 07:39:32 UTC,Asia/Kuching,,,,open,false,gps,gps,890554,Ong Jyh Seng,2023-06-27 10:24:30 UTC,2025-05-26 14:16:07 UTC,research,CC-BY-SA,,2,false
Avicennia officinalis,2023-06-27 15:39:27 +0800,,"Sarikei, Sarawak, Malaysia",2.1222111111,111.5360333333,"",Indian Mangrove,https://www.inaturalist.org/observations/169744976,https://inaturalist-open-data.s3.amazonaws.com/photos/294317261/medium.jpeg,ongzi,169744976,Indian Mangrove,Plantae,189587,2,0,2023-06-27 15:39:27,2023-06-27,2023-06-27 07:39:27 UTC,Asia/Kuching,,,,open,false,,,890554,Ong Jyh Seng,2023-06-27 10:25:21 UTC,2025-05-26 14:16:16 UTC,research,CC-BY-SA,,2,false
Avicennia officinalis,2023-09-11 10:42:39 +0800,,"Kawasan 14, 42000 Port Klang, Selangor, Malaysia",3.019425941,101.3800663501,"",Indian Mangrove,https://www.inaturalist.org/observations/182783138,https://static.inaturalist.org/photos/318761562/medium.jpeg,veronwoon,182783138,Indian Mangrove,Plantae,189587,1,0,2023-09-11 10:42:39,2023-09-11,2023-09-11 02:42:39 UTC,Kuala Lumpur,211,211,,open,false,gps,gps,6409542,Veron Woon,2023-09-11 09:34:08 UTC,2025-05-26 14:16:39 UTC,research,,,2,false
Avicennia officinalis,2013-06-20 03:01:00 +0800,,"Kuala Selangor, Selangor, Malaisie",3.3355375007,101.2385926945,"",Indian Mangrove,https://www.inaturalist.org/observations/195498381,https://inaturalist-open-data.s3.amazonaws.com/photos/343946082/medium.jpeg,jeanjacquesgodon,195498381,Avicennia officinalis,Plantae,189587,0,0,2013/06/20 03:01,2013-06-20,2013-06-19 19:01:00 UTC,Kuala Lumpur,31,31,,open,false,,,1374382,,2024-01-01 20:33:33 UTC,2025-05-14 18:44:19 UTC,needs_id,CC-BY-NC,,,false
Avicennia officinalis,2023-02-01 11:24:00 +0800,,82300馬來西亞柔佛龜咯丹絨比亞,1.267975,103.5085694444,"",Indian Mangrove,https://www.inaturalist.org/observations/198107736,https://static.inaturalist.org/photos/349090286/medium.jpeg,ccp8964,198107736,Avicennia officinalis,Plantae,189587,1,0,2023/02/01 11:24,2023-02-01,2023-02-01 03:24:00 UTC,Kuala Lumpur,35,35,,open,false,,,3738489,MOK,2024-02-01 03:42:28 UTC,2025-05-26 14:16:49 UTC,research,,,,false
Avicennia officinalis,2023-02-01 11:48:00 +0800,,82300馬來西亞柔佛龜咯丹絨比亞,1.2671611111,103.5082944444,"",Indian Mangrove,https://www.inaturalist.org/observations/198107747,https://static.inaturalist.org/photos/349090556/medium.jpeg,ccp8964,198107747,Avicennia officinalis,Plantae,189587,1,0,2023/02/01 11:48,2023-02-01,2023-02-01 03:48:00 UTC,Kuala Lumpur,4,4,,open,false,,,3738489,MOK,2024-02-01 03:42:31 UTC,2025-05-26 14:19:13 UTC,research,,,,false
Avicennia officinalis,2010-12-10 22:28:15 +0800,,"Selangor, MY",3.2356472029,101.2095642053,"",Indian Mangrove,https://www.inaturalist.org/observations/229629062,https://inaturalist-open-data.s3.amazonaws.com/photos/407629941/medium.jpeg,globalherping,229629062,Avicennia officinalis,Plantae,189587,1,0,2010-12-10 22:28:15,2010-12-10,2010-12-10 14:28:15 UTC,Kuala Lumpur,465,31425,obscured,open,true,gps,gps,8238319,"",2024-07-16 03:10:11 UTC,2025-05-26 14:15:16 UTC,research,CC-BY-NC,,2,false
Avicennia officinalis,2025-07-20 10:47:58 +0800,,"Kuala Selangor, Selangor, Malaysia",3.33480622,101.23649309,"",Indian Mangrove,https://www.inaturalist.org/observations/299394877,https://static.inaturalist.org/photos/539379080/medium.jpg,gonaturelam,299394877,Indian Mangrove,Plantae,189587,1,0,2025-07-20 10:47:58,2025-07-20,2025-07-20 02:47:58 UTC,Kuala Lumpur,3,3,,open,false,,,201567,gonature Lam,2025-07-20 02:49:46 UTC,2025-08-27 07:52:19 UTC,research,"",,2,false
Avicennia officinalis,2025-07-21 12:28:00 +0800,,"Johor, Malaysia",1.9602,102.6204972222,"",Indian Mangrove,https://www.inaturalist.org/observations/300013736,https://inaturalist-open-data.s3.amazonaws.com/photos/540530607/medium.jpg,ongzi,300013736,Indian Mangrove,Plantae,189587,0,0,2025/07/21 12:28 PM,2025-07-21,2025-07-21 04:28:00 UTC,Kuala Lumpur,,,,open,false,,,890554,Ong Jyh Seng,2025-07-22 01:59:45 UTC,2025-08-28 06:28:09 UTC,needs_id,CC-BY,,,false
Avicennia officinalis,2025-07-21 11:59:00 +0800,,"Parit Jawa, Johor Darul Ta'zim, Malaysia",1.9709944444,102.6286166667,"",Indian Mangrove,https://www.inaturalist.org/observations/300013766,https://inaturalist-open-data.s3.amazonaws.com/photos/540531292/medium.jpg,ongzi,300013766,Indian Mangrove,Plantae,189587,0,0,2025/07/21 11:59 AM,2025-07-21,2025-07-21 03:59:00 UTC,Kuala Lumpur,,,,open,false,,,890554,Ong Jyh Seng,2025-07-22 01:59:51 UTC,2025-08-28 06:27:52 UTC,needs_id,CC-BY,,,false
Avicennia officinalis,2008-08-16 00:00:00 +0800,,"Tanjung Piai, Johor",1.2681356,103.5094726,"",Indian Mangrove,https://www.inaturalist.org/observations/306929105,https://static.inaturalist.org/photos/553555176/medium.jpg,lenachow,306929105,Indian Mangrove,Plantae,189587,1,0,2008/08/16 ,2008-08-16,,Kuala Lumpur,228,228,,open,false,,,44332,Lena Chow,2025-08-17 05:43:14 UTC,2025-08-17 05:57:43 UTC,needs_id,,,,false
Avicennia officinalis,2025-09-05 09:55:00 +0800,,"Kawasan 14, 42000 Port Klang, Selangor, Malaysia",3.0203388889,101.3810833333,"",Indian Mangrove,https://www.inaturalist.org/observations/311660132,https://inaturalist-open-data.s3.amazonaws.com/photos/562630477/medium.jpg,ongzi,311660132,Indian Mangrove,Plantae,189587,1,0,2025/09/05 9:55 AM,2025-09-05,2025-09-05 01:55:00 UTC,Kuala Lumpur,,,,open,false,,,890554,Ong Jyh Seng,2025-09-05 10:13:49 UTC,2025-09-15 02:08:29 UTC,research,CC-BY,,,false
Avicennia officinalis,2025-09-20 11:12:20 +0800,,"86QM+25, 45000 Kuala Selangor, Selangor, Malaysia",3.3350983333,101.233555,"",Indian Mangrove,https://www.inaturalist.org/observations/315156561,https://inaturalist-open-data.s3.amazonaws.com/photos/569303413/medium.jpg,maiket,315156561,Indian Mangrove,Plantae,189587,1,0,2025-09-20 11:12:20,2025-09-20,2025-09-20 03:12:20 UTC,Kuala Lumpur,7,7,,open,false,,,9441505,"",2025-09-20 03:22:33 UTC,2025-10-06 12:06:10 UTC,research,CC-BY-NC,,2,false
Avicennia officinalis,2025-09-14 14:08:00 +0800,唇形目，爵床科，海茄苳屬 / 海榄雌属，药用白骨壤。,Malaysia,1.3395046494,103.568964336,"",Indian Mangrove,https://www.inaturalist.org/observations/316700063,https://static.inaturalist.org/photos/572216081/medium.jpg,kohsoonyap,316700063,Avicennia officinalis,Plantae,189587,1,0,2025/09/14 2:08 PM,2025-09-14,2025-09-14 06:08:00 UTC,Kuala Lumpur,13,31447,obscured,open,true,,,553800,許順業 Koh Soon Yap,2025-09-26 10:22:37 UTC,2025-09-27 23:09:44 UTC,research,,,,false
