scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Antiaris toxicaria,2019-02-23 08:10:23 +0800,30 metres in height ,"Timur Laut, MY-PG, MY",5.4379535114,100.2902553466,"",Upas tree,https://www.inaturalist.org/observations/20566054,https://static.inaturalist.org/photos/31750901/medium.jpeg,mahesraj,20566054,Antiaris toxicaria,Plantae,133462,1,0,2019-02-23 8:10:23 am GMT+08:00,2019-02-23,2019-02-23 00:10:23 UTC,Australia/Perth,200,200,,,false,,,1471501,Mahes Raj,2019-02-23 00:15:09 UTC,2019-10-05 16:13:58 UTC,research,,,2,false
Antiaris toxicaria,2019-02-23 14:41:01 +0800,,"Unnamed Road, 10470 George Town, Pulau Pinang, Malaysia",5.4386333333,100.2896066667,"",Upas tree,https://www.inaturalist.org/observations/20607201,https://inaturalist-open-data.s3.amazonaws.com/photos/31801391/medium.jpeg,leeqizhengzz,20607201,Antiaris toxicaria,Plantae,133462,1,0,2019-02-23 2:41:01 PM GMT+08:00,2019-02-23,2019-02-23 06:41:01 UTC,Australia/Perth,2,2,,,false,,,1471295,QZ,2019-02-23 06:42:49 UTC,2019-10-05 16:13:44 UTC,research,CC-BY-NC,,2,false
Antiaris toxicaria,2019-02-23 14:54:59 +0800,,"Unnamed Road, 10470 George Town, Pulau Pinang, Malaysia",5.4384050642,100.2896461753,"",Upas tree,https://www.inaturalist.org/observations/20608871,https://static.inaturalist.org/photos/31803439/medium.jpeg,ongyuhan,20608871,Antiaris toxicaria,Plantae,133462,1,0,2019-02-23 2:54:59 pm GMT+08:00,2019-02-23,2019-02-23 06:54:59 UTC,Australia/Perth,4,4,,,false,,,1485445,Yuhan,2019-02-23 06:56:02 UTC,2019-10-05 16:13:35 UTC,research,,,2,false
Antiaris toxicaria,2019-02-23 14:20:32 +0800,,"Unnamed Road, 10470 George Town, Pulau Pinang, Malaysia",5.4406347275,100.2881469727,"",Upas tree,https://www.inaturalist.org/observations/20613765,https://static.inaturalist.org/photos/31809024/medium.jpeg,secretteoh,20613765,Antiaris toxicaria,Plantae,133462,1,0,2019-02-23 2:20:32 pm GMT+08:00,2019-02-23,2019-02-23 06:20:32 UTC,Australia/Perth,,,,,false,gps,gps,1482893,secret teoh,2019-02-23 07:38:51 UTC,2019-10-05 16:13:27 UTC,research,,,2,false
Antiaris toxicaria,2019-02-23 19:35:56 +0800,,"Car Park Penang National Park, Jalan Kebun Bunga, 10470 George Town, Penang, Malaysia",5.436706326,100.2917026323,"",Upas tree,https://www.inaturalist.org/observations/20648062,https://static.inaturalist.org/photos/31849071/medium.jpeg,dingzhuangqin,20648062,Antiaris toxicaria,Plantae,133462,1,0,2019-02-23 7:35:56 pm GMT+08:00,2019-02-23,2019-02-23 11:35:56 UTC,Australia/Perth,4,4,,,false,,,1481878,John Ding,2019-02-23 11:49:01 UTC,2019-10-05 16:13:18 UTC,research,,,2,false
Antiaris toxicaria,2019-02-23 17:42:34 +0800,,"18d, Jalan Air Terjun, George Town, 10350 George Town, Pulau Pinang, Malaysia",5.4323897362,100.2985610962,"",Upas tree,https://www.inaturalist.org/observations/20672082,https://static.inaturalist.org/photos/31878303/medium.jpeg,femi1,20672082,Antiaris toxicaria,Plantae,133462,0,0,2019-02-23 5:42:34 pm GMT+08:00,2019-02-23,2019-02-23 09:42:34 UTC,Australia/Perth,,,,,false,gps,gps,1489682,Femi Chee,2019-02-23 14:16:23 UTC,2019-02-23 14:16:37 UTC,needs_id,,,2,false
Antiaris toxicaria,2019-10-10 15:34:55 +0600,,"10470 Джорджтаун, Пинанг, Малайзия",5.4383473396,100.2894134521,"",Upas tree,https://www.inaturalist.org/observations/34158967,https://static.inaturalist.org/photos/53725012/medium.jpeg,maomax,34158967,Antiaris toxicaria,Plantae,133462,0,0,2019-10-10 3:34:55 PM GMT+06:00,2019-10-10,2019-10-10 09:34:55 UTC,Almaty,,,,,false,gps,gps,2203440,Максим Толмачев,2019-10-10 13:50:54 UTC,2019-10-10 13:51:10 UTC,needs_id,,,2,false
Antiaris toxicaria,2020-02-08 13:01:28 +0800,Pokok Ipuh,"Gali, Pahang, Malaysia",3.800933136,102.0861743018,"",Upas tree,https://www.inaturalist.org/observations/38422378,https://static.inaturalist.org/photos/61062032/medium.jpeg,azamuddeen_nasir,38422378,Antiaris toxicaria,Plantae,133462,0,0,2020-02-08 1:01:28 PM GMT+08:00,2020-02-08,2020-02-08 05:01:28 UTC,Australia/Perth,16998,16998,,,false,gps,gps,1645389,AZAMUDDEEN NASIR,2020-02-08 14:09:57 UTC,2024-02-29 15:35:12 UTC,needs_id,,,2,false
Antiaris toxicaria,2020-02-09 08:07:00 +0800,"Batek 'dõk'

Fruits favoured by gibbons (lars and siamangs).

","Lipis, MY-PH, MY",4.2692355415,101.8617378189,"dõk, 131-Tɔm Kəpoŋ, BNY Cybertracker, BNY gibbons",Upas tree,https://www.inaturalist.org/observations/44954833,https://inaturalist-open-data.s3.amazonaws.com/photos/71270020/medium.jpg,tuckpo,44954833,Antiaris toxicaria,Plantae,133462,0,0,2020/02/09 8:07 AM +0800,2020-02-09,2020-02-09 00:07:00 UTC,Kuala Lumpur,,31407,obscured,,true,,"",2885296,"",2020-05-05 07:01:42 UTC,2020-05-06 06:57:52 UTC,needs_id,CC-BY-NC,,,false
Antiaris toxicaria,2021-12-14 14:58:00 +0800,"","Tanjung Bungah, Penang, Malaysia",5.465118,100.2822098,"Antiaris toxicaria, plant, penang, malaysia, upas tree",Upas tree,https://www.inaturalist.org/observations/103043602,https://inaturalist-open-data.s3.amazonaws.com/photos/172375262/medium.jpeg,albertkang,103043602,Antiaris toxicaria,Plantae,133462,0,0,2021/12/14 2:58 PM +0800,2021-12-14,2021-12-14 06:58:00 UTC,Kuala Lumpur,4314,4314,,open,false,,,139644,Albert Kang,2021-12-14 12:59:24 UTC,2021-12-14 12:59:24 UTC,needs_id,CC-BY-NC,,,false
