scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Cyrtandra burbidgei,2013-08-13 00:31:32 -0700,"flower, Mount Kinabalu National Park, Sabah, Borneo, Malaysia","Sabah, Malaysia",6.0101,116.541908,"",,http://www.inaturalist.org/observations/466410,https://static.inaturalist.org/photos/588281/medium.jpg,damontighe,466410,Cyrtandra,Plantae,1238994,1,0,2013-08-13 00:31:32,2013-08-13,2013-08-13 07:31:32 UTC,Pacific Time (US & Canada),,,,,false,,"",3494,Damon Tighe,2013-11-24 07:19:08 UTC,2021-05-09 17:22:11 UTC,needs_id,CC-BY-NC,,,false
Cyrtandra,2006-02-23 00:00:00 +0000,"","FRIM, Kepong, Malaysia",3.2356754755,101.6312213249,"",,https://www.inaturalist.org/observations/9528480,https://static.inaturalist.org/photos/12993012/medium.jpg,tiggrx,9528480,Cyrtandra,Plantae,157063,1,0,2006/02/23,2006-02-23,,UTC,1184,1184,,,false,,,160,Tig,2018-01-19 15:29:58 UTC,2020-01-27 17:34:50 UTC,needs_id,,,,false
Cyrtandra,2015-10-17 18:43:00 +0200,"","Pahang, Malesia",3.306923104,101.8588854518,bit.ly/borneowalkabout,,https://www.inaturalist.org/observations/10232946,https://static.inaturalist.org/photos/14147066/medium.jpg,marco_plebani,10232946,flowering plants,Plantae,157063,1,0,2015/10/17 6:43 PM +0200,2015-10-17,2015-10-17 16:43:00 UTC,Rome,30361,30361,,,false,,,210404,Marco Plebani,2018-03-14 16:46:23 UTC,2021-12-30 09:22:26 UTC,needs_id,CC-BY,,,false
Cyrtandra clarkei,2018-05-02 05:20:00 +0100,,"Kinabalu Park, Ranau, Sabah, Malaysia",6.0516249292,116.5567017174,"",,https://www.inaturalist.org/observations/12189065,https://inaturalist-open-data.s3.amazonaws.com/photos/17505224/medium.jpeg,shawnodonnell,12189065,Cyrtandra clarkei,Plantae,708339,1,0,2018/05/02 5:20 AM BST,2018-05-02,2018-05-02 04:20:00 UTC,Europe/London,2540,2540,,,false,,,399851,Shawn O'Donnell,2018-05-06 09:04:22 UTC,2020-09-03 16:09:29 UTC,research,CC0,,,false
Cyrtandra clarkei,2018-05-02 05:50:00 +0100,,"Kinabalu Park, Ranau, Sabah, Malaysia",6.0516249292,116.5567017174,"",,https://www.inaturalist.org/observations/12189076,https://inaturalist-open-data.s3.amazonaws.com/photos/17505314/medium.jpeg,shawnodonnell,12189076,Cyrtandra clarkei,Plantae,708339,1,0,2018/05/02 5:50 AM BST,2018-05-02,2018-05-02 04:50:00 UTC,Europe/London,2540,2540,,,false,,,399851,Shawn O'Donnell,2018-05-06 09:04:29 UTC,2020-09-03 16:09:26 UTC,research,CC0,,,false
Cyrtandra,2018-05-05 02:01:00 +0100,,"Kinabalu Park, Ranau, Sabah, Malaysia",6.0077947347,116.5459299088,"",,https://www.inaturalist.org/observations/12190336,https://inaturalist-open-data.s3.amazonaws.com/photos/17507230/medium.jpeg,shawnodonnell,12190336,Cyrtandra,Plantae,157063,0,0,2018/05/05 2:01 AM BST,2018-05-05,2018-05-05 01:01:00 UTC,Europe/London,280,280,,,false,,,399851,Shawn O'Donnell,2018-05-06 10:56:33 UTC,2023-02-03 12:20:13 UTC,needs_id,CC0,,,false
Cyrtandra clarkei,2018-08-02 10:42:00 +0900,,"Kinabalu Park, Ranau, Sabah, Malaysia",6.0589373739,116.5665004001,"malaysia, sabah, kinabalu, 2018",,https://www.inaturalist.org/observations/15439656,https://inaturalist-open-data.s3.amazonaws.com/photos/23157165/medium.jpeg,lhurteau,15439656,Cyrtandra clarkei,Plantae,708339,2,0,2018/08/02 10:42 AM KST,2018-08-02,2018-08-02 01:42:00 UTC,Seoul,948,948,,,false,,,524305,Leslie Hurteau,2018-08-15 03:38:31 UTC,2025-08-28 08:06:46 UTC,research,CC-BY-NC,,,false
Cyrtandra,2017-08-25 07:46:00 +0800,"Looks like Rhododendron but it is from the Cyrtandra genus. Growing in a montane rainforest at 1600m a.s.l.

","Kinabalu, MY-SA-RA, MY-SA, MY",6.008748,116.542537,"",,https://www.inaturalist.org/observations/26491506,https://inaturalist-open-data.s3.amazonaws.com/photos/41141209/medium.jpeg,chunxingwong,26491506,gesneria family,Plantae,157063,0,0,2017/08/25 7:46 AM +08,2017-08-25,2017-08-24 23:46:00 UTC,Singapore,529,529,,,false,,,7570,Chun Xing Wong,2019-06-06 13:28:40 UTC,2023-02-03 12:25:46 UTC,needs_id,CC-BY-NC,,,false
Cyrtandra,2019-08-01 11:36:00 -1000,,"Kota Belud, Sabah, Malaysia",6.3170674268,116.3963125643,"",,https://www.inaturalist.org/observations/30773899,https://static.inaturalist.org/photos/48096869/medium.jpeg,a1virginia,30773899,Cyrtandra,Plantae,157063,1,0,2019/08/01 11:36 AM HST,2019-08-01,2019-08-01 21:36:00 UTC,Hawaii,3906,3906,,,false,,,572477,Virginia,2019-08-13 21:09:44 UTC,2024-03-06 00:55:41 UTC,needs_id,,,,false
Cyrtandra,2015-06-08 04:35:00 -1000,,"Kinabalu Park, Ranau, Sabah, Malaysia",6.0266822075,116.5435883224,"",,https://www.inaturalist.org/observations/31012290,https://inaturalist-open-data.s3.amazonaws.com/photos/48488449/medium.jpeg,ryansteiner,31012290,Cyrtandra,Plantae,157063,1,0,2015/06/08 4:35 AM HST,2015-06-08,2015-06-08 14:35:00 UTC,Hawaii,31,31,,,false,,,29041,Ryan Steiner,2019-08-17 20:34:13 UTC,2020-02-04 10:42:12 UTC,needs_id,CC-BY-NC,,,false
