scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Aeschynanthus longiflorus,2015-10-20 12:04:02 +0800,Frasers Hill,Fraser's Hill,3.711868,101.736556,"",,http://www.inaturalist.org/observations/2318558,https://inaturalist-open-data.s3.amazonaws.com/photos/2578784/medium.jpg,gancw1,2318558,Aeschynanthus longiflorus,Plantae,871756,2,0,2015-10-20 12:04:02 PM GMT+08:00,2015-10-20,2015-10-20 04:04:02 UTC,Perth,4714,4714,,,false,,google,44170,Cheongweei Gan,2015-10-28 01:45:42 UTC,2023-02-25 11:13:25 UTC,research,CC-BY-NC,,2,false
Aeschynanthus rhododendron,2016-07-25 11:10:00 +0800,Growing on the edge of the jungle beside the road up to the Brinchang reservoir,"Brinchang, 39000 Brinchang, Pahang, Malaysia",4.5041683859,101.3883161545,"",,http://www.inaturalist.org/observations/3782396,https://inaturalist-open-data.s3.amazonaws.com/photos/4412285/medium.jpeg,caqalai,3782396,Aeschynanthus rhododendron,Plantae,958043,3,0,2016/07/25 11:10 AM ,2016-07-25,2016-07-25 03:10:00 UTC,Kuala Lumpur,61,61,,,false,,,30109,Pat Enright,2016-08-01 13:43:09 UTC,2025-04-04 21:45:37 UTC,research,CC-BY-NC,,,false
Aeschynanthus,2016-03-28 00:00:00 +0000,,"Sepilok, 90715 Sandakan, Sabah, Malaysia",5.8745783,117.9436096,"",,https://www.inaturalist.org/observations/5303631,https://inaturalist-open-data.s3.amazonaws.com/photos/6566003/medium.jpeg,chuboola,5303631,Aeschynanthus,Plantae,183253,0,0,2016/03/28 4:23 PM UTC,2016-03-28,,UTC,390,390,,,false,,,309476,"",2017-03-14 05:44:48 UTC,2019-08-24 10:15:10 UTC,needs_id,CC-BY-NC,,,false
Aeschynanthus,2016-03-15 12:23:00 +0800,,"Sarawak, Malaysia",3.4215603,115.1526162,"Aeschynanthus, Borneo, Sarawak, Malaysia",,https://www.inaturalist.org/observations/6047230,https://inaturalist-open-data.s3.amazonaws.com/photos/7577635/medium.jpeg,sow-rainforest-school,6047230,Aeschynanthus,Plantae,183253,0,0,2016/03/15 12:23 PM MYT,2016-03-15,2016-03-15 04:23:00 UTC,Kuala Lumpur,211,211,,,false,,,382761,SOW Rainforest Nature Education,2017-05-02 04:43:31 UTC,2017-05-02 04:47:29 UTC,needs_id,CC-BY-NC,,,false
Aeschynanthus,2015-03-22 11:28:00 +0800,,"Sarawak, Malaysia",3.4215603,115.1526162,"Aeschynanthus, Borneo, Sarawak, Malaysia",,https://www.inaturalist.org/observations/6047300,https://inaturalist-open-data.s3.amazonaws.com/photos/7577888/medium.jpeg,sow-rainforest-school,6047300,Aeschynanthus,Plantae,183253,0,0,2015/03/22 11:28 AM MYT,2015-03-22,2015-03-22 03:28:00 UTC,Kuala Lumpur,211,211,,,false,,,382761,SOW Rainforest Nature Education,2017-05-02 04:56:42 UTC,2017-05-02 04:56:43 UTC,needs_id,CC-BY-NC,,,false
Aeschynanthus,2015-09-22 11:30:00 +0800,,"Sarawak, Malaysia",3.4215603,115.1526162,"Aeschynanthus, Borneo, Sarawak, Malaysia",,https://www.inaturalist.org/observations/6047301,https://inaturalist-open-data.s3.amazonaws.com/photos/7577893/medium.jpeg,sow-rainforest-school,6047301,Aeschynanthus,Plantae,183253,0,0,2015/09/22 11:30 AM MYT,2015-09-22,2015-09-22 03:30:00 UTC,Kuala Lumpur,211,211,,,false,,,382761,SOW Rainforest Nature Education,2017-05-02 04:56:42 UTC,2017-05-02 04:56:44 UTC,needs_id,CC-BY-NC,,,false
Aeschynanthus,2016-08-21 12:28:00 +0800,,"Sarawak, Malaysia",3.4215603,115.1526162,"Aeschynanthus, Borneo, Sarawak, Malaysia",,https://www.inaturalist.org/observations/6047302,https://inaturalist-open-data.s3.amazonaws.com/photos/7577894/medium.jpeg,sow-rainforest-school,6047302,Aeschynanthus,Plantae,183253,0,0,2016/08/21 12:28 PM MYT,2016-08-21,2016-08-21 04:28:00 UTC,Kuala Lumpur,211,211,,,false,,,382761,SOW Rainforest Nature Education,2017-05-02 04:56:42 UTC,2017-05-02 04:56:45 UTC,needs_id,CC-BY-NC,,,false
Aeschynanthus,2017-12-13 10:53:00 +0800,"","Durian Perangin Waterfall, Langkawi",6.402094,99.819696,"",,https://www.inaturalist.org/observations/9190374,https://inaturalist-open-data.s3.amazonaws.com/photos/12439629/medium.jpeg,gancw1,9190374,Aeschynanthus,Plantae,183253,1,0,2017-12-13 10:53:00 am GMT+08:00,2017-12-13,2017-12-13 02:53:00 UTC,Perth,40,40,,,false,gps,manual,44170,Cheongweei Gan,2017-12-18 07:21:41 UTC,2024-03-16 20:02:18 UTC,needs_id,CC-BY-NC,,2,false
Aeschynanthus,2015-12-24 18:10:00 +0200,"","Bahagian Miri, Sarawak, Malesia",3.5647298483,115.1614379883,bit.ly/borneowalkabout,,https://www.inaturalist.org/observations/10232620,https://static.inaturalist.org/photos/14146539/medium.jpg,marco_plebani,10232620,Aeschynanthus,Plantae,183253,0,0,2015/12/24 6:10 PM +0200,2015-12-24,2015-12-24 16:10:00 UTC,Africa/Johannesburg,32895,32895,,,false,,"",210404,Marco Plebani,2018-03-14 16:13:33 UTC,2018-03-18 18:07:55 UTC,needs_id,CC-BY,,,false
Aeschynanthus pulcher,2015-11-25 20:38:00 +0200,"","Bahagian Sandakan, Sabah, Malesia",4.7984964198,116.8996826914,bit.ly/borneowalkabout,,https://www.inaturalist.org/observations/10234558,https://static.inaturalist.org/photos/14149768/medium.jpg,marco_plebani,10234558,Aeschynanthus pulcher,Plantae,784554,2,0,2015/11/25 8:38 PM +0200,2015-11-25,2015-11-25 18:38:00 UTC,Pretoria,12660,12660,,,false,,"",210404,Marco Plebani,2018-03-14 18:47:00 UTC,2022-10-11 12:46:04 UTC,research,CC-BY,,,false
