scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Lumnitzera littorea,2016-06-01 14:49:13 +0800,,Kerteh Terengganu,4.4778972644,103.4244393557,"",black mangrove,http://www.inaturalist.org/observations/3370044,https://static.inaturalist.org/photos/3890787/medium.jpeg,amirul,3370044,black mangrove,Plantae,196656,2,0,2016-06-01 2:49:13 p.m. GMT+08:00,2016-06-01,2016-06-01 06:49:13 UTC,Australia/Perth,66042,66042,,open,false,gps,gps,252654,Amirul Aiman Ahmad,2016-06-03 09:10:27 UTC,2019-08-09 09:37:55 UTC,research,,,2,false
Lumnitzera littorea,2019-12-18 15:16:23 +0800,,"91100, Sabah, Malaysia",4.9145021439,118.1749725342,"",black mangrove,https://www.inaturalist.org/observations/36747834,https://static.inaturalist.org/photos/58138846/medium.jpeg,jamal13,36747834,black mangrove,Plantae,196656,4,0,2019-12-18 3:16:23 PM GMT+08:00,2019-12-18,2019-12-18 07:16:23 UTC,Perth,,,,open,false,gps,gps,2494329,Jamal Asandi Abdul Hadi,2019-12-18 08:15:30 UTC,2025-08-28 08:18:24 UTC,research,,,2,false
Lumnitzera littorea,2019-12-25 18:09:55 +0800,,"Sungai Tiram, Johor, Malaysia",1.5739606304,103.990156129,"",black mangrove,https://www.inaturalist.org/observations/37251576,https://static.inaturalist.org/photos/59023366/medium.jpeg,hanazulkifli,37251576,black mangrove,Plantae,196656,1,0,2019-12-25 6:09:55 PM GMT+08:00,2019-12-25,2019-12-25 10:09:55 UTC,Kuala Lumpur,3375,3375,,open,false,gps,gps,2371118,Hana Badriah,2020-01-04 03:37:41 UTC,2025-04-02 21:20:28 UTC,research,CC-BY-NC,,2,false
Lumnitzera littorea,2019-12-25 18:07:01 +0800,,"Sungai Tiram, Sungai Tiram, Johore, MY",1.58023667,103.97938667,"",black mangrove,https://www.inaturalist.org/observations/38421892,https://inaturalist-open-data.s3.amazonaws.com/photos/61060964/medium.jpg,razishahidin,38421892,black mangrove,Plantae,196656,1,0,Wed Dec 25 2019 18:07:01 GMT+0800 (GMT+8),2019-12-25,2019-12-25 10:07:01 UTC,Perth,8,8,,open,false,,,2570593,,2020-02-08 13:48:04 UTC,2025-04-03 08:36:47 UTC,research,,,3,false
Lumnitzera littorea,2017-07-20 09:53:00 +0800,"","Kampung Semunin, 94500 Lundu, Sarawak, 馬來西亞",1.6679215031,109.8530739767,"",black mangrove,https://www.inaturalist.org/observations/39348605,https://inaturalist-open-data.s3.amazonaws.com/photos/62413694/medium.jpg,chenshu,39348605,black mangrove,Plantae,196656,2,0,2017/07/20 9:53 AM CST,2017-07-20,2017-07-20 01:53:00 UTC,Taipei,353,353,,open,false,,,1646783,Chen Shu,2020-02-29 11:46:42 UTC,2023-12-08 13:29:52 UTC,research,CC-BY-NC,,,false
Lumnitzera littorea,2012-03-28 22:47:00 +0800,"","Pulau Arang, Port Dickson, Negeri Sembilan, Malaysia",2.5155062103,101.7943335965,"",black mangrove,https://www.inaturalist.org/observations/39964915,https://inaturalist-open-data.s3.amazonaws.com/photos/63461758/medium.jpeg,johnhowes,39964915,black mangrove,Plantae,196656,1,0,2012/03/28 10:47 PM +0800,2012-03-28,2012-03-28 14:47:00 UTC,Kuala Lumpur,61,61,,open,false,,,1043349,John Howes,2020-03-14 13:08:55 UTC,2024-08-23 16:41:03 UTC,research,CC-BY,,,false
Lumnitzera littorea,2013-05-30 08:18:00 +0800,"","Petra Jaya, Kuching, Sarawak, Malaysia",1.6619609762,110.2245600428,"Borneo, Combretaceae, East Malaysia, Magnoliopsida, Malaysia, Myrtales, Sarawak, Southeast Asia, flora, mangrove, plant, tree, tropical",black mangrove,https://www.inaturalist.org/observations/42013603,https://static.inaturalist.org/photos/66677880/medium.jpg,cclborneo,42013603,black mangrove,Plantae,196656,1,0,2013/05/30 8:18 AM +0800,2013-05-30,2013-05-30 00:18:00 UTC,Kuala Lumpur,2000,2000,,open,false,,,1829749,Chien Lee,2020-04-12 17:41:07 UTC,2020-04-13 03:00:26 UTC,research,,,,false
Lumnitzera littorea,2020-11-07 18:03:32 +0800,,"Taman Pantai Dickson, Port Dickson, Negeri Sembilan, Malaysia",2.4169208222,101.8955698237,"",black mangrove,https://www.inaturalist.org/observations/67341798,https://static.inaturalist.org/photos/108779872/medium.jpeg,kent88,67341798,black mangrove,Plantae,196656,1,0,2020-11-07 6:03:32 PM GMT+08:00,2020-11-07,2020-11-07 10:03:32 UTC,Australia/Perth,86,86,,open,false,gps,gps,1680812,Kent Leong,2020-12-31 06:05:50 UTC,2024-07-01 18:38:03 UTC,research,,,2,false
Lumnitzera littorea,2021-12-18 15:27:19 +0800,Attracts flying insects and hard to find. ,"Taman Pantai Dickson, Port Dickson, Negeri Sembilan, Malaysia",2.416878615,101.8954078853,"",black mangrove,https://www.inaturalist.org/observations/104185730,https://static.inaturalist.org/photos/174553859/medium.jpeg,kent88,104185730,black mangrove,Plantae,196656,2,0,2021-12-18 3:27:19 PM GMT+08:00,2021-12-18,2021-12-18 07:27:19 UTC,Beijing,226,226,,open,false,gps,gps,1680812,Kent Leong,2022-01-02 15:30:52 UTC,2024-07-01 22:07:32 UTC,research,,,2,false
Lumnitzera littorea,2023-04-21 22:49:32 +0800,"","Si Rusa, Negri Sembilan, MY",2.4169966667,101.8953383333,"",black mangrove,https://www.inaturalist.org/observations/155982157,https://static.inaturalist.org/photos/269676630/medium.jpg,kahhweegan,155982157,black mangrove,Plantae,196656,3,0,2023-04-21 22:49:32+08:00,2023-04-21,2023-04-21 14:49:32 UTC,Kuala Lumpur,,,,open,false,,,3441530,Kah Hwee Gan,2023-04-22 01:29:59 UTC,2023-04-30 16:11:48 UTC,research,,,3,false
Lumnitzera littorea,2023-06-23 13:45:42 +0800,,"Sandakan, Sabah, Malaysia",5.8328277778,117.9391333333,"",black mangrove,https://www.inaturalist.org/observations/174069900,https://static.inaturalist.org/photos/302369872/medium.jpeg,keith0202,174069900,black mangrove,Plantae,196656,0,0,2023-06-23 13:45:42,2023-06-23,2023-06-23 05:45:42 UTC,Asia/Kuching,,,,open,false,gps,gps,6185152,Keith Ng,2023-07-21 09:41:29 UTC,2023-07-21 09:41:45 UTC,needs_id,,,2,false
Lumnitzera littorea,2023-12-10 10:15:49 +0800,,"Kampung Ladang 2, Pendas, Malaysia, 81550 Iskandar Puteri, Johor, Malaysia",1.3724928,103.6248762,"",black mangrove,https://www.inaturalist.org/observations/193556654,https://static.inaturalist.org/photos/340025042/medium.jpeg,ida96366,193556654,black mangrove,Plantae,196656,1,0,2023-12-10 10:15:49,2023-12-10,2023-12-10 02:15:49 UTC,Kuala Lumpur,1100,1100,,open,false,,,7663420,ida ida,2023-12-10 02:18:26 UTC,2023-12-10 04:25:52 UTC,research,,,2,false
Lumnitzera littorea,2023-02-01 11:13:00 +0800,,82300馬來西亞柔佛龜咯丹絨比亞,1.2680611111,103.5085527778,"",black mangrove,https://www.inaturalist.org/observations/198107733,https://static.inaturalist.org/photos/349090257/medium.jpeg,ccp8964,198107733,Lumnitzera littorea,Plantae,196656,2,0,2023/02/01 11:13,2023-02-01,2023-02-01 03:13:00 UTC,Kuala Lumpur,4,4,,open,false,,,3738489,MOK,2024-02-01 03:42:27 UTC,2024-02-02 22:52:37 UTC,research,,,,false
Lumnitzera littorea,2024-03-03 10:10:50 +0800,,"Mukim 1 Pantai Acheh, Penang, Malaysia",5.46566462,100.2023547,"",black mangrove,https://www.inaturalist.org/observations/201078271,https://static.inaturalist.org/photos/354888562/medium.jpeg,kaushiganath,201078271,black mangrove,Plantae,196656,0,0,2024-03-03 10:10:50,2024-03-03,2024-03-03 02:10:50 UTC,Kuala Lumpur,8,8,,open,false,,,7574123,Kaushiganath Kumaran,2024-03-03 02:12:49 UTC,2024-03-03 02:13:09 UTC,needs_id,,,2,false
