scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Sonneratia alba,2018-11-01 10:24:30 +0800,,"1, Jalan Seremban, Kampung Dhobi, 71000 Port Dickson, Negeri Sembilan, Malaysia",2.5280491322,101.7898415029,"",Apple Mangrove,https://www.inaturalist.org/observations/18002303,https://inaturalist-open-data.s3.amazonaws.com/photos/27520118/medium.jpeg,johnhowes,18002303,Apple Mangrove,Plantae,196661,1,0,2018-11-01 10:24:30 am GMT+08:00,2018-11-01,2018-11-01 02:24:30 UTC,Perth,66,66,,open,false,gps,gps,1043349,John Howes,2018-11-01 03:52:48 UTC,2025-05-05 17:53:30 UTC,research,CC-BY,,2,false
Sonneratia alba,2019-04-28 00:00:00 +0000,,"Timur Laut, MY-PG, MY",5.3600260889,100.3220482508,"",Apple Mangrove,https://www.inaturalist.org/observations/23678282,https://inaturalist-open-data.s3.amazonaws.com/photos/36645617/medium.jpeg,hongjing,23678282,Apple Mangrove,Plantae,196661,0,0,2019/04/28 9:27 AM UTC,2019-04-28,,UTC,61,61,,open,false,,,1390603,"",2019-04-28 17:18:14 UTC,2019-04-28 17:18:14 UTC,needs_id,CC-BY-NC,,,false
Sonneratia alba,2004-11-09 09:40:00 +0800,,"Menumbok, Sabah, Malaysia",5.2588783206,115.4431304521,"",Apple Mangrove,https://www.inaturalist.org/observations/35481900,https://inaturalist-open-data.s3.amazonaws.com/photos/55951735/medium.jpeg,johnhowes,35481900,Apple Mangrove,Plantae,196661,1,0,2004/11/09 9:40 AM +0800,2004-11-09,2004-11-09 01:40:00 UTC,Kuala Lumpur,977,977,,open,false,,,1043349,John Howes,2019-11-09 08:42:27 UTC,2024-08-23 16:41:03 UTC,research,CC-BY,,,false
Sonneratia alba,2020-01-09 12:28:41 +0800,Old trees near the mouth of a small creek.,"Pantai Port Dickson KM 4.6, Jalan Pantai, Kampung Si Rusa, 71050 Port Dickson, Negeri Sembilan, Malaysia",2.4969463257,101.8369441107,"",Apple Mangrove,https://www.inaturalist.org/observations/37420901,https://inaturalist-open-data.s3.amazonaws.com/photos/59320113/medium.jpeg,johnhowes,37420901,Apple Mangrove,Plantae,196661,0,0,2020-01-09 12:28:41 PM GMT+08:00,2020-01-09,2020-01-09 04:28:41 UTC,Kuala Lumpur,66,66,,open,false,gps,gps,1043349,John Howes,2020-01-09 06:53:41 UTC,2024-08-23 16:41:03 UTC,needs_id,CC-BY,,2,false
Sonneratia alba,2020-01-09 12:05:10 +0800,,"Pantai Port Dickson KM 4.6, Jalan Pantai, Kampung Si Rusa, 71050 Port Dickson, Negeri Sembilan, Malaysia",2.4969463257,101.8369441107,"",Apple Mangrove,https://www.inaturalist.org/observations/37421178,https://inaturalist-open-data.s3.amazonaws.com/photos/59320744/medium.jpeg,johnhowes,37421178,Apple Mangrove,Plantae,196661,1,0,2020-01-09 12:05:10 PM GMT+08:00,2020-01-09,2020-01-09 04:05:10 UTC,Kuala Lumpur,66,66,,open,false,gps,gps,1043349,John Howes,2020-01-09 07:21:23 UTC,2024-08-23 16:41:03 UTC,research,CC-BY,,2,false
Sonneratia alba,2012-01-13 14:46:00 -0500,,"Kuala Selangor, Selangor, Malaysia",3.3371282852,101.2438148358,"",Apple Mangrove,https://www.inaturalist.org/observations/37933248,https://inaturalist-open-data.s3.amazonaws.com/photos/60211890/medium.jpg,ryruther,37933248,Apple Mangrove,Plantae,196661,1,0,2012/01/13 2:46 PM EST,2012-01-13,2012-01-13 19:46:00 UTC,Eastern Time (US & Canada),4,4,,open,false,,,38771,Ryne Rutherford,2020-01-25 01:27:29 UTC,2025-05-05 18:04:39 UTC,research,CC-BY-NC,,,false
Sonneratia alba,2007-08-22 18:29:00 +0800,,"Port Dickson, Negeri Sembilan, Malaysia",2.6023091112,101.7962116139,"",Apple Mangrove,https://www.inaturalist.org/observations/38530372,https://inaturalist-open-data.s3.amazonaws.com/photos/61249935/medium.jpeg,johnhowes,38530372,Apple Mangrove,Plantae,196661,1,0,2007/08/22 6:29 PM +0800,2007-08-22,2007-08-22 10:29:00 UTC,Kuala Lumpur,122,122,,open,false,,,1043349,John Howes,2020-02-11 06:30:41 UTC,2025-05-05 18:07:36 UTC,research,CC-BY,,,false
Sonneratia alba,2007-08-22 18:30:00 +0800,,"Port Dickson, Negeri Sembilan, Malaysia",2.6023091112,101.7962116139,"",Apple Mangrove,https://www.inaturalist.org/observations/38530373,https://inaturalist-open-data.s3.amazonaws.com/photos/61249936/medium.jpg,johnhowes,38530373,Apple Mangrove,Plantae,196661,1,0,2007/08/22 6:30 PM +0800,2007-08-22,2007-08-22 10:30:00 UTC,Kuala Lumpur,122,122,,open,false,,,1043349,John Howes,2020-02-11 06:30:42 UTC,2025-05-05 18:07:26 UTC,research,CC-BY,,,false
Sonneratia alba,2017-07-20 10:09:00 +0800,"","Pekan Lundu, 94500 Lundu, Sarawak, 馬來西亞",1.6689443533,109.8526019079,"",Apple Mangrove,https://www.inaturalist.org/observations/39348609,https://inaturalist-open-data.s3.amazonaws.com/photos/62414083/medium.jpeg,chenshu,39348609,杯萼海桑,Plantae,196661,2,0,2017/07/20 10:09 AM CST,2017-07-20,2017-07-20 02:09:00 UTC,Taipei,257,257,,open,false,,,1646783,Chen Shu,2020-02-29 11:46:45 UTC,2025-05-05 18:10:03 UTC,needs_id,CC-BY-NC,,,false
Sonneratia alba,2020-07-20 11:24:06 UTC,,Undefined location,5.6803412525,100.3768335097,"",Apple Mangrove,https://www.inaturalist.org/observations/53812531,https://inaturalist-open-data.s3.amazonaws.com/photos/85602062/medium.jpeg,faiz120992,53812531,Apple Mangrove,Plantae,196661,2,0,2020-07-20T19:24:06+08:00,2020-07-20,2020-07-20 11:24:06 UTC,UTC,316,316,,open,false,,,2857261,,2020-07-21 05:41:01 UTC,2020-10-23 20:38:44 UTC,research,CC-BY-NC,,333,false
