scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Sonneratia caseolaris,2019-08-16 16:57:31 +0800,,馬來西亞沙巴保佛縣邮政编码: 89800,5.2193951607,115.6062774658,"",apple mangrove,https://www.inaturalist.org/observations/31162487,https://static.inaturalist.org/photos/48746497/medium.jpeg,kiwishen,31162487,apple mangrove,Plantae,196662,1,0,2019-08-16 4:57:31 下午 GMT+08:00,2019-08-16,2019-08-16 08:57:31 UTC,Perth,,,,open,false,gps,gps,1105534,Kiwi Shen,2019-08-20 05:57:23 UTC,2025-05-06 15:06:54 UTC,needs_id,CC-BY,,2,false
Sonneratia caseolaris,2004-11-09 09:50:00 +0800,,"Beaufort, Sabah, Malaysia",5.1884475649,115.5529937334,"",apple mangrove,https://www.inaturalist.org/observations/35481876,https://inaturalist-open-data.s3.amazonaws.com/photos/55951621/medium.jpeg,johnhowes,35481876,apple mangrove,Plantae,196662,1,0,2004/11/09 9:50 AM +0800,2004-11-09,2004-11-09 01:50:00 UTC,Kuala Lumpur,977,977,,open,false,,,1043349,John Howes,2019-11-09 08:40:51 UTC,2025-05-05 18:00:42 UTC,research,CC-BY,,,false
Sonneratia caseolaris,2007-01-24 14:27:00 +0800,,"Teluk Intan, Perak, Malaysia",4.0212277619,100.9829533619,"",apple mangrove,https://www.inaturalist.org/observations/37835274,https://inaturalist-open-data.s3.amazonaws.com/photos/60058396/medium.jpg,johnhowes,37835274,apple mangrove,Plantae,196662,1,0,2007/01/24 2:27 PM +0800,2007-01-24,2007-01-24 06:27:00 UTC,Kuala Lumpur,2988,2988,,open,false,,,1043349,John Howes,2020-01-22 04:30:34 UTC,2025-07-08 02:52:27 UTC,research,CC-BY,,,false
Sonneratia caseolaris,2020-02-09 12:39:29 +0800,Growing on the banks of the Perak River. ,"Durian Sebatang, Perak, Malaysia",4.0132238131,101.0161495954,"",apple mangrove,https://www.inaturalist.org/observations/38454777,https://inaturalist-open-data.s3.amazonaws.com/photos/61118099/medium.jpeg,johnhowes,38454777,apple mangrove,Plantae,196662,1,0,2020-02-09 12:39:29 PM GMT+08:00,2020-02-09,2020-02-09 04:39:29 UTC,Kuala Lumpur,18,18,,open,false,gps,gps,1043349,John Howes,2020-02-09 06:01:21 UTC,2025-05-05 18:06:40 UTC,research,CC-BY,,2,false
Sonneratia caseolaris,2014-02-09 11:47:00 -1000,,馬來西亞柔佛峇株巴轄,1.843027,102.923723,"",apple mangrove,https://www.inaturalist.org/observations/45473423,https://inaturalist-open-data.s3.amazonaws.com/photos/72109539/medium.jpeg,takashi_nishiki,45473423,apple mangrove,Plantae,196662,1,0,2014/02/09 11:47 AM HST,2014-02-09,2014-02-09 21:47:00 UTC,Hawaii,25,25,,open,false,,,235947,王錦堯（Ong Jin Yao）,2020-05-10 13:12:34 UTC,2025-05-06 15:14:44 UTC,research,CC-BY-NC,,,false
Sonneratia caseolaris,2016-08-20 11:58:00 +0700,,"Maludam National Park, Bahagian Betong, Sarawak, Malaysia",1.5462925352,111.1345558076,"",apple mangrove,https://www.inaturalist.org/observations/45480627,https://inaturalist-open-data.s3.amazonaws.com/photos/72119250/medium.jpg,marcel-silvius,45480627,apple mangrove,Plantae,196662,1,0,2016/08/20 11:58 AM WIB,2016-08-20,2016-08-20 04:58:00 UTC,Jakarta,12956,12956,,open,false,,,1468127,,2020-05-10 14:38:11 UTC,2021-04-19 22:43:10 UTC,research,CC-BY-NC,,,false
Sonneratia caseolaris,2000-08-06 14:08:00 -0400,"Mangrove area, with Allophylus cobbe, Avicennia alba, A. marina, Derris trifoliata, Excoecaria agallocha, Morinda citrifolia, Nypa fruticans, and Scyphiphora hydrophyllacea.

Thanks to Faridah Qamaruz-Zaman for bringing me to this site.","Kuala Selangor, Selangor, Malaysia",3.3393538631,101.2497211981,"",apple mangrove,https://www.inaturalist.org/observations/49744761,https://inaturalist-open-data.s3.amazonaws.com/photos/78974592/medium.jpg,douggoldman,49744761,apple mangrove,Plantae,196662,1,0,2000/08/06 2:08 PM EDT,2000-08-06,2000-08-06 18:08:00 UTC,Eastern Time (US & Canada),2666,2666,,open,false,,,2118269,Douglas Goldman,2020-06-15 18:10:47 UTC,2022-06-25 12:46:13 UTC,research,CC-BY-NC,,,false
Sonneratia caseolaris,2020-09-01 09:18:00 +0800,,"Kuala Muda, Kedah, Malaysia",5.639725,100.4781194444,"",apple mangrove,https://www.inaturalist.org/observations/58247825,https://static.inaturalist.org/photos/92977067/medium.jpeg,rafeemajid,58247825,apple mangrove,Plantae,196662,1,0,2020/09/01 9:18 AM +0800,2020-09-01,2020-09-01 01:18:00 UTC,Kuala Lumpur,16,16,,open,false,,,1282484,"",2020-09-01 15:28:22 UTC,2021-04-19 22:42:19 UTC,research,,,,false
Sonneratia caseolaris,2021-05-01 14:16:21 +0800,,"Pasangan, Selangor, Malaysia",3.365832,101.303599,"",apple mangrove,https://www.inaturalist.org/observations/76123566,https://static.inaturalist.org/photos/124543409/medium.jpeg,eddiemalek,76123566,apple mangrove,Plantae,196662,2,0,2021-05-01 14:16:21,2021-05-01,2021-05-01 06:16:21 UTC,Kuala Lumpur,,,,open,false,gps,gps,1366432,eddie malek,2021-05-01 13:12:08 UTC,2025-05-06 15:23:11 UTC,research,,,2,false
Sonneratia caseolaris,2021-05-02 09:54:35 +0800,Pokok Berembang,"BD 19 Jejantas Kota, Jalan Pasar, Kawasan 15, 41300 Klang, Selangor, Malaysia",3.0459339444,101.4477574167,"",apple mangrove,https://www.inaturalist.org/observations/76382224,https://static.inaturalist.org/photos/124947161/medium.jpeg,zulaikhaoz,76382224,,Plantae,196662,0,0,2021-05-02 09:54:35,2021-05-02,2021-05-02 01:54:35 UTC,Kuala Lumpur,,,,open,false,gps,gps,3545075,Sharifah Nur Zulaikha,2021-05-02 01:55:08 UTC,2021-05-21 15:30:10 UTC,needs_id,,,2,false
