scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Eurycoma longifolia,2017-04-11 12:05:54 +0800,"Eurycoma longifolia is known by common name ""tongkat ali"" in South East Region such as Malaysia.","1112, Persiaran Sains 11800 Gelugor Pulau Pinang",5.3558497011,100.300663635,"",,https://www.inaturalist.org/observations/6258569,https://static.inaturalist.org/photos/7870938/medium.jpeg,dingkang,6258569,Eurycoma longifolia,Plantae,344197,0,0,2017-04-11 12:05:54 PM GMT+08:00,2017-04-11,2017-04-11 04:05:54 UTC,Australia/Perth,115,115,,,false,gps,gps,448288,Kang Lim,2017-05-18 13:48:12 UTC,2017-11-09 05:06:42 UTC,needs_id,,,2,false
Eurycoma longifolia,2018-04-29 22:34:00 +0800,,"Mines Wellness City, 43300 Seri Kembangan, Selangor, Malaysia",3.0367217877,101.7252632976,"",,https://www.inaturalist.org/observations/11892594,https://inaturalist-open-data.s3.amazonaws.com/photos/17023520/medium.jpg,aiqal,11892594,tongkat ali,Plantae,344197,0,0,2018-04-29 10:34:00 p.m. GMT+08:00,2018-04-29,2018-04-29 14:34:00 UTC,Australia/Perth,344,344,,,false,gps,gps,904775,"",2018-04-30 16:44:44 UTC,2018-08-29 11:46:26 UTC,needs_id,CC-BY-NC,,2,false
Eurycoma longifolia,2018-09-26 11:52:00 -0500,,"Bahagian Miri, Sarawak, 馬來西亞",3.4278843229,115.1473016296,"",,https://www.inaturalist.org/observations/20277236,https://inaturalist-open-data.s3.amazonaws.com/photos/31301847/medium.jpg,kinmatsu,20277236,Eurycoma longifolia,Plantae,344197,1,0,2018/09/26 11:52 AM CST,2018-09-26,2018-09-26 16:52:00 UTC,Central Time (US & Canada),197,197,,,false,,,386262,Kinmatsu Lin,2019-02-11 09:45:42 UTC,2023-01-18 10:14:14 UTC,research,CC-BY-NC,,,false
Eurycoma longifolia,2005-12-27 15:13:00 +0100,Eurycoma longifolia TONGKAT ALI,"Perdana Botanical Gardens, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1436522984,101.6843814348,Simaroubaceae,,https://www.inaturalist.org/observations/20278039,https://inaturalist-open-data.s3.amazonaws.com/photos/31303417/medium.jpeg,nasserhalaweh,20278039,Eurycoma longifolia,Plantae,344197,1,0,2005/12/27 3:13 PM CET,2005-12-27,2005-12-27 14:13:00 UTC,Berlin,458,458,,,false,,,59856,Nasser Halaweh,2019-02-11 11:29:27 UTC,2019-03-06 11:44:49 UTC,research,CC-BY,,,false
Eurycoma longifolia,2019-03-15 10:31:48 +0800,,"Jalan Keliling, Seremban, 70100 Seremban, Negeri Sembilan, Malaysia",2.7230392098,101.9460671023,"",,https://www.inaturalist.org/observations/21322223,https://inaturalist-open-data.s3.amazonaws.com/photos/32974483/medium.jpeg,ongzi,21322223,Eurycoma longifolia,Plantae,344197,1,0,2019-03-15 10:31:48 am GMT+08:00,2019-03-15,2019-03-15 02:31:48 UTC,Kuala Lumpur,263,263,,,false,gps,gps,890554,Ong Jyh Seng,2019-03-17 16:40:44 UTC,2019-03-22 04:57:00 UTC,research,CC-BY-SA,,2,false
Eurycoma longifolia,2019-04-06 10:51:45 +0800,"Found in Rimb Ilmu, University Malaya. ","Sistem Penyuraian Trafik Kuala Lumpur Barat, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.128330946,101.6614685059,"",,https://www.inaturalist.org/observations/22067446,https://inaturalist-open-data.s3.amazonaws.com/photos/34174852/medium.jpeg,marychan55,22067446,Eurycoma longifolia,Plantae,344197,1,0,2019-04-06 10:51:45 am GMT+08:00,2019-04-06,2019-04-06 02:51:45 UTC,Australia/Perth,,,,,false,gps,gps,1582451,"",2019-04-06 03:11:04 UTC,2019-04-26 12:05:10 UTC,research,CC-BY-NC,,2,false
Eurycoma longifolia,2019-04-20 14:27:50 +0800,,"Titi Tinggi, Titi Tinggi, Perlis, MY",6.69965,100.1981883333,"",,https://www.inaturalist.org/observations/22871088,https://inaturalist-open-data.s3.amazonaws.com/photos/35451877/medium.jpg,hamrish_singh,22871088,,Plantae,344197,0,0,Sat Apr 20 2019 14:27:50 GMT+0800 (GMT+8),2019-04-20,2019-04-20 06:27:50 UTC,Kuala Lumpur,5,5,,,false,,,1288792,Hamrish Singh,2019-04-22 08:09:51 UTC,2019-04-22 08:10:16 UTC,needs_id,CC-BY-NC,,3,false
Eurycoma longifolia,2019-04-26 15:45:32 +0800,,"11800 USM, 11800, 11800, Penang, Malaysia",5.3558662862,100.3036409242,"",,https://www.inaturalist.org/observations/23105193,https://static.inaturalist.org/photos/35820879/medium.jpeg,billyadmin,23105193,,Plantae,344197,0,0,2019-04-26 3:45:32 pm GMT+08:00,2019-04-26,2019-04-26 07:45:32 UTC,Australia/Perth,4,4,,,false,,,1448288,Billy Lim,2019-04-26 07:45:55 UTC,2019-04-26 15:38:58 UTC,needs_id,,,2,false
Eurycoma longifolia,2019-04-26 14:33:57 +0800,,"1938, Lorong Pegawai, 11800 Gelugor, Pulau Pinang, Malaysia",5.3605723381,100.3047637939,"",,https://www.inaturalist.org/observations/23106872,https://static.inaturalist.org/photos/35823273/medium.jpeg,nadine4,23106872,Eurycoma longifolia,Plantae,344197,0,0,2019-04-26 2:33:57 pm GMT+08:00,2019-04-26,2019-04-26 06:33:57 UTC,Australia/Perth,,,,,false,gps,gps,233840,Nadine Ruppert,2019-04-26 08:22:30 UTC,2019-04-26 08:22:38 UTC,needs_id,,,2,false
Eurycoma longifolia,2019-04-27 10:50:46 +0800,,"Jalan Usaha, Damansara, Selangor, MY",3.037775,101.5803533333,"",,https://www.inaturalist.org/observations/23333152,https://static.inaturalist.org/photos/36151123/medium.jpg,eeqianching,23333152,,Plantae,344197,0,0,Sat Apr 27 2019 10:50:46 GMT+0800 (GMT+8),2019-04-27,2019-04-27 02:50:46 UTC,Australia/Perth,5,5,,,false,,,1669153,Ee Qian Ching,2019-04-27 09:46:36 UTC,2019-04-27 10:36:19 UTC,needs_id,,,3,false
