scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Koompassia malaccensis,2019-08-15 17:34:00 +0800,"Common Name Kempas
Fabaceae","Negeri Sembilan, MY",2.969395226,102.223267363,"",,https://www.inaturalist.org/observations/31390427,https://inaturalist-open-data.s3.amazonaws.com/photos/49125435/medium.jpeg,safwanah,31390427,Kompassia malaccensis,Plantae,347832,0,0,2019/08/15 5:34 PM +08,2019-08-15,2019-08-15 09:34:00 UTC,Kuala Lumpur,,31431,,obscured,true,,,1542803,Safwanah Safwan,2019-08-24 08:32:59 UTC,2021-01-04 16:45:14 UTC,needs_id,CC-BY-NC,,,false
Koompassia malaccensis,2023-04-30 11:25:09 +0800,,Malaysia,2.3999052972,102.2039322725,"",,https://www.inaturalist.org/observations/158124156,https://static.inaturalist.org/photos/273314196/medium.jpeg,hazirah__,158124156,Koompassia malaccensis,Plantae,347832,0,0,2023-04-30 11:25:09,2023-04-30,2023-04-30 03:25:09 UTC,Kuala Lumpur,226,31438,,obscured,true,gps,gps,6698809,Nurul Hazirah Amni Nakmat,2023-04-30 15:11:32 UTC,2023-04-30 15:12:11 UTC,needs_id,,,2,false
Koompassia malaccensis,2023-05-25 12:04:44 +0800,,Malaysia,2.86408499,101.6234585922,"",,https://www.inaturalist.org/observations/163598694,https://inaturalist-open-data.s3.amazonaws.com/photos/282976920/medium.jpeg,nik_faizu,163598694,Koompassia malaccensis,Plantae,347832,0,0,2023-05-25 12:04:44,2023-05-25,2023-05-25 04:04:44 UTC,Kuala Lumpur,5,31431,,obscured,true,,,6843967,Nik Faizu Nik Hassan,2023-05-25 04:06:06 UTC,2023-05-25 04:06:23 UTC,needs_id,CC-BY-NC,,2,false
Koompassia malaccensis,2023-06-18 10:43:29 +0800,,"Selangor, MY",3.0247214568,101.5373538908,"",,https://www.inaturalist.org/observations/168033491,https://inaturalist-open-data.s3.amazonaws.com/photos/291163105/medium.jpeg,akmal_idham,168033491,Koompassia malaccensis,Plantae,347832,0,0,2023-06-18 10:43:29,2023-06-18,2023-06-18 02:43:29 UTC,Kuala Lumpur,,31428,,obscured,true,gps,gps,5087501,Akmal Idham,2023-06-18 06:30:44 UTC,2023-06-18 06:31:25 UTC,needs_id,CC-BY-NC,,2,false
Koompassia malaccensis,2023-10-28 12:41:16 +0800,,Malaysia,2.8408723228,101.7856841501,"",,https://www.inaturalist.org/observations/189191137,https://inaturalist-open-data.s3.amazonaws.com/photos/331348887/medium.jpeg,nik_faizu,189191137,Koompassia malaccensis,Plantae,347832,0,0,2023-10-28 12:41:16,2023-10-28,2023-10-28 04:41:16 UTC,Kuala Lumpur,9,31431,,obscured,true,,,6843967,Nik Faizu Nik Hassan,2023-10-28 04:43:53 UTC,2023-10-28 04:44:15 UTC,needs_id,CC-BY-NC,,2,false
Koompassia malaccensis,2023-10-28 12:43:29 +0800,,Malaysia,2.8613325223,101.7405184077,"",,https://www.inaturalist.org/observations/189191154,https://inaturalist-open-data.s3.amazonaws.com/photos/331348939/medium.jpeg,rafidah_abdul_rahman,189191154,Koompassia malaccensis,Plantae,347832,0,0,2023-10-28 12:43:29,2023-10-28,2023-10-28 04:43:29 UTC,Kuala Lumpur,,31431,,obscured,true,gps,gps,6843731,Rafidah Abdul Rahman,2023-10-28 04:44:34 UTC,2023-10-28 04:44:55 UTC,needs_id,CC-BY-NC,,2,false
Koompassia malaccensis,2024-02-14 13:14:50 +0800,,"Selangor, MY",3.3963843483,101.6464935075,"",,https://www.inaturalist.org/observations/199267719,https://inaturalist-open-data.s3.amazonaws.com/photos/351390739/medium.jpeg,akmal_idham,199267719,Koompassia malaccensis,Plantae,347832,0,0,2024-02-14 13:14:50,2024-02-14,2024-02-14 05:14:50 UTC,Kuala Lumpur,,31425,obscured,obscured,true,gps,gps,5087501,Akmal Idham,2024-02-14 10:53:54 UTC,2024-02-14 10:54:08 UTC,needs_id,CC-BY-NC,,2,false
Koompassia malaccensis,2024-10-06 13:22:08 +0800,,"Hulu Terengganu, MY-TE, MY",5.0704236617,102.9845463257,"",,https://www.inaturalist.org/observations/245920558,https://inaturalist-open-data.s3.amazonaws.com/photos/438923776/medium.jpeg,mamuin,245920558,Koompassia malaccensis,Plantae,347832,0,0,2024-10-06 13:22:08,2024-10-06,2024-10-06 05:22:08 UTC,Kuala Lumpur,,31389,,obscured,true,gps,gps,1299,Mohd Abdul Muin Md Akil,2024-10-06 10:47:52 UTC,2024-10-06 10:47:57 UTC,needs_id,,,2,false
Koompassia malaccensis,2024-08-02 09:55:00 +0800,"",Malaysia,3.234218298,101.7468139562,"",,https://www.inaturalist.org/observations/269421421,https://inaturalist-open-data.s3.amazonaws.com/photos/484423731/medium.jpeg,amkamal12,269421421,Koompassia malaccensis,Plantae,347832,0,0,2024/08/02 9:55 AM,2024-08-02,2024-08-02 01:55:00 UTC,Kuala Lumpur,61,31425,,obscured,true,,,1007835,Adam Kamal,2025-04-09 08:32:17 UTC,2025-04-09 12:39:33 UTC,needs_id,CC-BY,,,false
Koompassia malaccensis,2024-09-09 14:04:00 +0800,"",Malaysia,3.3054019017,101.7297058696,"",,https://www.inaturalist.org/observations/269421428,https://inaturalist-open-data.s3.amazonaws.com/photos/484424363/medium.jpeg,amkamal12,269421428,Koompassia malaccensis,Plantae,347832,1,0,2024/09/09 2:04 PM,2024-09-09,2024-09-09 06:04:00 UTC,Kuala Lumpur,28,31425,,obscured,true,,,1007835,Adam Kamal,2025-04-09 08:32:18 UTC,2025-07-02 12:56:21 UTC,research,CC-BY,,,false
