scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Koompassia excelsa,2017-09-14 19:28:00 -0400,"","Sandakan, MY-SA, MY",5.8979300041,117.8836956508,"",,https://www.inaturalist.org/observations/9082150,https://inaturalist-open-data.s3.amazonaws.com/photos/12265040/medium.jpeg,paul_prior,9082150,Koompassia excelsa,Plantae,348093,1,0,2017/09/14 7:28 PM EDT,2017-09-14,2017-09-14 23:28:00 UTC,Eastern Time (US & Canada),2489,31368,,obscured,true,,,110005,Paul Prior,2017-12-07 23:15:41 UTC,2025-07-15 19:35:43 UTC,research,CC-BY,,,false
Koompassia excelsa,2018-03-21 12:16:59 +0800,,Malaysia,3.0207194405,101.6828724857,"",,https://www.inaturalist.org/observations/10337088,https://static.inaturalist.org/photos/14331973/medium.jpeg,jimhesnen,10337088,Koompassia excelsa,Plantae,348093,0,0,2018-03-21 12:16:59 pm GMT+08:00,2018-03-21,2018-03-21 04:16:59 UTC,Australia/Perth,7,31428,,obscured,true,,,682750,Najmi Ayob,2018-03-21 04:20:08 UTC,2018-03-21 04:20:28 UTC,needs_id,,,2,false
Koompassia excelsa,2018-04-29 17:39:46 +0800,,Malaysia,3.0191379407,101.649307869,"",,https://www.inaturalist.org/observations/11728263,https://static.inaturalist.org/photos/16770440/medium.jpeg,jimhesnen,11728263,Koompassia excelsa,Plantae,348093,0,0,2018-04-29 5:39:46 pm GMT+08:00,2018-04-29,2018-04-29 09:39:46 UTC,Australia/Perth,9,31428,,obscured,true,,,682750,Najmi Ayob,2018-04-29 09:52:31 UTC,2018-04-29 09:54:15 UTC,needs_id,,,2,false
Koompassia excelsa,2018-04-30 09:18:42 +0800,Tualang,Malaysia,3.1147418254,101.6983329406,"",,https://www.inaturalist.org/observations/11825931,https://inaturalist-open-data.s3.amazonaws.com/photos/16919714/medium.jpeg,snnmusa,11825931,Koompassia excelsa,Plantae,348093,0,0,2018-04-30 9:18:42 am GMT+08:00,2018-04-30,2018-04-30 01:18:42 UTC,Australia/Perth,9,31428,,obscured,true,,,863875,Najihah Musa,2018-04-30 01:19:55 UTC,2018-04-30 01:20:06 UTC,needs_id,CC-BY-NC,,2,false
Koompassia excelsa,2019-02-23 14:44:47 +0800,,Malaysia,5.4030121492,100.2524255834,"",,https://www.inaturalist.org/observations/20607623,https://inaturalist-open-data.s3.amazonaws.com/photos/31802010/medium.jpeg,leeqizhengzz,20607623,Koompassia excelsa,Plantae,348093,0,0,2019-02-23 2:44:47 PM GMT+08:00,2019-02-23,2019-02-23 06:44:47 UTC,Australia/Perth,2,31379,,obscured,true,,,1471295,QZ,2019-02-23 06:46:13 UTC,2019-02-23 06:46:50 UTC,needs_id,CC-BY-NC,,2,false
Koompassia excelsa,2019-02-23 17:42:00 +0800,,Malaysia,5.4786207545,100.3133797005,"",,https://www.inaturalist.org/observations/20629269,https://static.inaturalist.org/photos/31827490/medium.jpeg,femi1,20629269,Koompassia excelsa,Plantae,348093,0,0,2019-02-23 5:42:00 PM GMT+08:00,2019-02-23,2019-02-23 09:42:00 UTC,Australia/Perth,12,31379,,obscured,true,,,1489682,Femi Chee,2019-02-23 09:42:35 UTC,2019-02-23 09:42:56 UTC,needs_id,,,2,false
Koompassia excelsa,2019-04-06 16:38:00 +1100,"Sighting and photos (c) hollyb.
","Jerantut, MY-PH, MY",4.4909098182,102.243550215,"",,https://www.inaturalist.org/observations/22507406,https://inaturalist-open-data.s3.amazonaws.com/photos/34869836/medium.jpg,questagame,22507406,Id Please,Plantae,348093,0,0,2019-04-06T15:38,2019-04-06,2019-04-06 05:38:00 UTC,Sydney,,31403,,obscured,true,,,196849,QuestaGame,2019-04-15 09:46:05 UTC,2019-04-21 13:06:29 UTC,needs_id,CC-BY,,111,false
Koompassia excelsa,2016-04-23 16:07:00 +0800,,"Sandakan, MY-SA, MY",5.8087015707,117.8060881112,"",,https://www.inaturalist.org/observations/29383089,https://inaturalist-open-data.s3.amazonaws.com/photos/45853434/medium.jpg,kinmatsu,29383089,Koompassia excelsa,Plantae,348093,1,0,2016/04/23 4:07 PM CST,2016-04-23,2016-04-23 08:07:00 UTC,Taipei,200,31368,,obscured,true,,,386262,Kinmatsu Lin,2019-07-23 15:18:18 UTC,2025-07-15 19:39:51 UTC,research,CC-BY-NC,,,false
Koompassia excelsa,2013-09-14 18:53:00 +0100,Tapang - with bamboo ladder,"Sarawak, MY",1.404967737,110.3988906538,"",,https://www.inaturalist.org/observations/30309055,https://inaturalist-open-data.s3.amazonaws.com/photos/47342932/medium.jpeg,ml_ls,30309055,Koompassia excelsa,Plantae,348093,1,0,2013/09/14 6:53 PM BST,2013-09-14,2013-09-14 17:53:00 UTC,Edinburgh,,31446,,obscured,true,,,1767154,"",2019-08-06 14:36:31 UTC,2019-08-11 23:11:35 UTC,research,CC-BY,,,false
Koompassia excelsa,2019-10-19 18:39:29 -0600,,"Sabah, MY",4.8693992414,117.9612530027,"",,https://www.inaturalist.org/observations/35217848,https://inaturalist-open-data.s3.amazonaws.com/photos/55510227/medium.jpg,jasheridan,35217848,,Plantae,348093,0,0,Sat Oct 19 2019 18:39:29 GMT-0600 (MDT),2019-10-19,2019-10-20 00:39:29 UTC,Mountain Time (US & Canada),12187,31394,,obscured,true,,,2247770,"",2019-11-02 23:23:06 UTC,2019-11-02 23:23:31 UTC,needs_id,CC-BY-NC,,3,false
