scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Licuala orbicularis,2017-10-05 14:38:00 -0500,,"93050 Kuching, Sarawak, 馬來西亞",1.612769,110.196905,palm,,https://www.inaturalist.org/observations/8540079,https://inaturalist-open-data.s3.amazonaws.com/photos/11408493/medium.jpg,kinmatsu,8540079,Licuala orbicularis,Plantae,365577,2,0,2017/10/05 2:38 PM CST,2017-10-05,2017-10-05 19:38:00 UTC,Central Time (US & Canada),212,212,,,false,,,386262,Kinmatsu Lin,2017-10-25 03:32:43 UTC,2023-01-25 00:46:45 UTC,research,CC-BY-NC,,,false
Licuala orbicularis,2019-09-29 10:07:00 +0800,"","Sarawak, MY",1.7101221489,110.1381701764,"",,https://www.inaturalist.org/observations/34152362,https://static.inaturalist.org/photos/53712886/medium.jpg,wkcheng71,34152362,Licuala orbicularis,Plantae,365577,1,0,2019/09/29 10:07 AM HKT,2019-09-29,2019-09-29 02:07:00 UTC,Hong Kong,1000,31444,obscured,,true,,,37171,WK Cheng,2019-10-10 08:29:21 UTC,2019-10-20 00:23:36 UTC,research,,,,false
Licuala orbicularis,2010-10-25 09:31:00 +0800,"","93050 Kuching, Sarawak, Malaysia",1.612769,110.196905,"Arecales, Borneo, East Malaysia, Liliopsida, Malaysia, Palmae, Sarawak, Southeast Asia, flora, monocot, monocotyledon, palm, plant, tropical",,https://www.inaturalist.org/observations/36634284,https://static.inaturalist.org/photos/57933395/medium.jpg,cclborneo,36634284,Licuala orbicularis,Plantae,365577,1,0,2010/10/25 9:31 AM +0800,2010-10-25,2010-10-25 01:31:00 UTC,Kuala Lumpur,210,210,,,false,,,1829749,Chien Lee,2019-12-14 03:25:01 UTC,2019-12-14 04:05:04 UTC,research,,,,false
Licuala orbicularis,2017-07-18 16:53:00 +0800,"","Kuching, MY-SK, MY",1.6126526224,110.1969371865,"",,https://www.inaturalist.org/observations/39243469,https://inaturalist-open-data.s3.amazonaws.com/photos/62235322/medium.jpeg,chenshu,39243469,Licuala orbicularis,Plantae,365577,2,0,2017/07/18 4:53 PM CST,2017-07-18,2017-07-18 08:53:00 UTC,Taipei,96,96,,,false,,,1646783,Chen Shu,2020-02-26 15:44:02 UTC,2023-12-08 13:29:52 UTC,research,CC-BY-NC,,,false
Licuala orbicularis,2020-03-09 03:40:32 +0200,,"Kuching, Sarawak, MY",1.6124984063,110.195039055,"",,https://www.inaturalist.org/observations/41473632,https://inaturalist-open-data.s3.amazonaws.com/photos/65794722/medium.jpg,tinusoberholzer,41473632,Licuala orbicularis,Plantae,365577,1,0,Mon Mar 09 2020 03:40:32 GMT+0200 (GMT+2),2020-03-09,2020-03-09 01:40:32 UTC,Africa/Johannesburg,75,75,,,false,,,2715471,Tinus Oberholzer,2020-04-05 20:04:35 UTC,2020-05-06 08:16:55 UTC,research,CC-BY-NC,,3,false
Licuala orbicularis,1998-07-28 18:49:00 +1200,,"Petra Jaya, Kuching, Sarawak, Malaysia",1.5879748485,110.1947818417,"",,https://www.inaturalist.org/observations/109206656,https://inaturalist-open-data.s3.amazonaws.com/photos/184017097/medium.png,barbaraparris,109206656,Licuala orbicularis,Plantae,365577,1,0,1998/07/28 6:49 PM NZST,1998-07-28,1998-07-28 06:49:00 UTC,Auckland,244,244,,,false,,,355160,Barbara Parris,2022-03-22 05:52:18 UTC,2023-12-10 06:53:13 UTC,research,CC-BY-NC,,,false
Licuala orbicularis,2017-02-17 13:28:03 +0800,"","Borneo, Kuching, Sarawak, MY",1.5895573652,110.1865649396,"",,https://www.inaturalist.org/observations/120921040,https://inaturalist-open-data.s3.amazonaws.com/photos/204573607/medium.jpg,chew_on_my_cholla,120921040,Licuala orbicularis,Plantae,365577,1,0,2017-02-17 13:28:03+08:00,2017-02-17,2017-02-17 05:28:03 UTC,Asia/Kuching,3374,3374,,,false,,,5768090,,2022-06-09 05:54:30 UTC,2022-06-13 08:30:49 UTC,needs_id,CC-BY-NC,,3,false
Licuala orbicularis,2023-09-11 19:00:10 +0800,"","Taman Saujana Hijau, Putrajaya, Putrajaya, MY",2.9620216667,101.6769333333,"",,https://www.inaturalist.org/observations/183657320,https://inaturalist-open-data.s3.amazonaws.com/photos/320452432/medium.jpg,azlinaminuddin,183657320,Licuala orbicularis,Plantae,365577,0,0,2023-09-11 19:00:10+08:00,2023-09-11,2023-09-11 11:00:10 UTC,Kuala Lumpur,4,4,,,false,,,6936275,,2023-09-17 13:00:08 UTC,2023-11-05 14:54:18 UTC,needs_id,CC-BY-NC,,3,false
Licuala orbicularis,2023-10-13 15:19:38 +0800,,"Petra Jaya, Kuching, Sarawak, Malaysia",1.6119861111,110.1925416667,"",,https://www.inaturalist.org/observations/189942621,https://inaturalist-open-data.s3.amazonaws.com/photos/332863042/medium.jpeg,cynthia_c,189942621,Licuala orbicularis,Plantae,365577,1,0,2023-10-13 15:19:38,2023-10-13,2023-10-13 07:19:38 UTC,Asia/Kuching,,,,,false,gps,gps,2376854,Cynthia Chan,2023-11-04 11:40:45 UTC,2023-11-10 03:46:44 UTC,research,CC-BY-NC,,2,false
Licuala orbicularis,2007-08-28 11:18:00 +0800,,"Petra Jaya, Kuching, Sarawak, Malaysia",1.6033223273,110.1855280753,"",,https://www.inaturalist.org/observations/199933790,https://inaturalist-open-data.s3.amazonaws.com/photos/352652189/medium.jpg,regray,199933790,Licuala orbicularis,Plantae,365577,1,0,2007/08/28 11:18 AM,2007-08-28,2007-08-28 03:18:00 UTC,Asia/Kuching,61,61,,,false,,,4766419,Ryan E. Gray,2024-02-20 21:40:12 UTC,2024-02-25 18:55:53 UTC,research,CC-BY-NC,,,false
