scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Rhododendron ericoides,2013-08-13 20:49:08 -0700,"rhododendron ericoides, Mount Kinabalu National Park, Sabah, Borneo, Malaysia","Sabah, Malaysia",6.068247,116.562277,"",,http://www.inaturalist.org/observations/466377,https://static.inaturalist.org/photos/588248/medium.jpg,damontighe,466377,Rhododendron ericoides,Plantae,426047,1,0,2013-08-13 20:49:08,2013-08-13,2013-08-14 03:49:08 UTC,Pacific Time (US & Canada),,,,,false,,"",3494,Damon Tighe,2013-11-24 06:55:43 UTC,2018-06-06 03:38:32 UTC,research,CC-BY-NC,,,false
Rhododendron crassifolium,2010-07-14 17:50:00 -0500,,馬來西亞沙巴神山公園,6.0735487562,116.550257893,"",,https://www.inaturalist.org/observations/4943610,https://inaturalist-open-data.s3.amazonaws.com/photos/6027631/medium.jpg,kinmatsu,4943610,Rhododendron crassifolium,Plantae,523978,2,0,2010/07/14 5:50 PM CST,2010-07-14,2010-07-14 22:50:00 UTC,Central Time (US & Canada),12511,12511,,,false,,,386262,Kinmatsu Lin,2017-01-14 16:25:32 UTC,2023-01-18 10:14:14 UTC,research,CC-BY-NC,,,false
Rhododendron,2016-06-04 00:00:00 +0000,,"Jalan Mulu National Park, Sarawak, Malaysia",4.0492122753,114.9246391654,"",rhododendrons and azaleas,https://www.inaturalist.org/observations/8507260,https://inaturalist-open-data.s3.amazonaws.com/photos/11352512/medium.jpeg,subirshakya,8507260,rhododendrons and azaleas,Plantae,49487,1,0,2016-06-04,2016-06-04,,UTC,8256,8256,,,false,gps,gps,679169,Subir B. Shakya,2017-10-22 18:10:40 UTC,2024-10-30 09:38:14 UTC,needs_id,CC-BY,,2,false
Rhododendron,2016-06-05 00:00:00 +0000,,"Unnamed Road, Sarawak, Malaysia",4.0382743675,114.927369318,"",rhododendrons and azaleas,https://www.inaturalist.org/observations/8507293,https://inaturalist-open-data.s3.amazonaws.com/photos/11352562/medium.jpeg,subirshakya,8507293,rhododendrons and azaleas,Plantae,49487,1,0,2016-06-05,2016-06-05,,UTC,33021,33021,,,false,gps,gps,679169,Subir B. Shakya,2017-10-22 18:13:36 UTC,2024-10-30 09:38:14 UTC,needs_id,CC-BY,,2,false
Rhododendron,2013-05-11 03:55:00 +0100,"","Bario, Sarawak, Malaysia",3.7522145749,115.4783248901,"",rhododendrons and azaleas,https://www.inaturalist.org/observations/9919116,https://inaturalist-open-data.s3.amazonaws.com/photos/13606500/medium.jpeg,shawnodonnell,9919116,rhododendrons and azaleas,Plantae,49487,1,0,2013/05/11 3:55 AM BST,2013-05-11,2013-05-11 02:55:00 UTC,Europe/London,131,131,,,false,,,399851,Shawn O'Donnell,2018-02-19 13:19:37 UTC,2018-02-26 20:53:03 UTC,needs_id,CC0,,,false
Rhododendron suaveolens,2013-05-13 04:12:00 +0100,"","Bahagian Miri, Sarawak, Malaysia",3.6987908194,115.4864788055,"",,https://www.inaturalist.org/observations/9919124,https://inaturalist-open-data.s3.amazonaws.com/photos/13606537/medium.jpeg,shawnodonnell,9919124,Rhododendron suaveolens,Plantae,1034638,1,0,2013/05/13 4:12 AM BST,2013-05-13,2013-05-13 03:12:00 UTC,Europe/London,122,122,,,false,,,399851,Shawn O'Donnell,2018-02-19 13:19:41 UTC,2020-04-21 20:50:00 UTC,needs_id,CC0,,,false
Rhododendron lanceolatum,2013-05-16 05:19:00 +0100,"","Bahagian Miri, Sarawak, Malaysia",3.5108509611,115.5361747742,"",,https://www.inaturalist.org/observations/9919141,https://inaturalist-open-data.s3.amazonaws.com/photos/13606573/medium.jpeg,shawnodonnell,9919141,Rhododendron lanceolatum,Plantae,1034143,1,0,2013/05/16 5:19 AM BST,2013-05-16,2013-05-16 04:19:00 UTC,London,122,122,,,false,,,399851,Shawn O'Donnell,2018-02-19 13:19:47 UTC,2025-02-21 06:09:05 UTC,needs_id,CC0,,,false
Rhododendron,2015-11-20 23:51:00 +0100,"","Bahagian Sandakan, Sabah, Malesia",4.8080745192,116.8873239131,bit.ly/borneowalkabout,rhododendrons and azaleas,https://www.inaturalist.org/observations/10052339,https://static.inaturalist.org/photos/13835405/medium.jpg,marco_plebani,10052339,Rhododendron,Plantae,49487,0,0,2015/11/20 11:51 PM CET,2015-11-20,2015-11-20 22:51:00 UTC,Paris,13969,13969,,,false,,"",210404,Marco Plebani,2018-03-02 07:06:52 UTC,2020-09-03 15:06:50 UTC,needs_id,CC-BY,,,false
Rhododendron suaveolens,2015-12-24 18:10:00 +0200,"","Bahagian Miri, Sarawak, Malesia",3.5647298483,115.1614379883,bit.ly/borneowalkabout,,https://www.inaturalist.org/observations/10232623,https://static.inaturalist.org/photos/14146547/medium.jpg,marco_plebani,10232623,rhododendrons and azaleas,Plantae,1034638,1,0,2015/12/24 6:10 PM +0200,2015-12-24,2015-12-24 16:10:00 UTC,Africa/Johannesburg,32895,32895,,,false,,"",210404,Marco Plebani,2018-03-14 16:13:34 UTC,2020-04-28 09:32:57 UTC,needs_id,CC-BY,,,false
Rhododendron,2015-12-24 18:10:00 +0200,"","Bahagian Miri, Sarawak, Malesia",3.5647298483,115.1614379883,bit.ly/borneowalkabout,rhododendrons and azaleas,https://www.inaturalist.org/observations/10232624,https://static.inaturalist.org/photos/14146549/medium.jpg,marco_plebani,10232624,rhododendrons and azaleas,Plantae,49487,0,0,2015/12/24 6:10 PM +0200,2015-12-24,2015-12-24 16:10:00 UTC,Africa/Johannesburg,32895,32895,,,false,,"",210404,Marco Plebani,2018-03-14 16:13:35 UTC,2018-03-18 18:07:54 UTC,needs_id,CC-BY,,,false
