scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Didymocarpus,2006-08-20 17:04:00 +1200,,"Taiping, Perak, Malaysia",4.8616914174,100.7934193535,"",,https://www.inaturalist.org/observations/106105496,https://inaturalist-open-data.s3.amazonaws.com/photos/178181437/medium.png,barbaraparris,106105496,gesneria family,Plantae,576224,0,0,2006/08/20 5:04 PM NZST,2006-08-20,2006-08-20 05:04:00 UTC,Auckland,31,31,,,false,,,355160,Barbara Parris,2022-02-04 04:07:54 UTC,2022-02-04 19:32:17 UTC,needs_id,CC-BY-NC,,,false
Didymocarpus sulphureus,2022-12-23 08:57:00 +0800,,"Pahang, Malaysia",4.4706838889,101.4004491667,"",,https://www.inaturalist.org/observations/152968355,https://inaturalist-open-data.s3.amazonaws.com/photos/264131710/medium.jpeg,nbasargin,152968355,Didymocarpus sulphureus,Plantae,1525680,2,0,2022/12/23 8:57 AM,2022-12-23,2022-12-23 00:57:00 UTC,Kuala Lumpur,,,,,false,,,3113277,,2023-03-31 20:40:36 UTC,2024-10-13 18:49:32 UTC,research,CC-BY,,,false
Didymocarpus sulphureus,2023-06-10 09:26:00 +0800,"","Brinchang, 39000 Brinchang, Pahang, Malaisie",4.5196919638,101.3852470296,"",,https://www.inaturalist.org/observations/167871572,https://inaturalist-open-data.s3.amazonaws.com/photos/290858208/medium.jpeg,pl_stenger,167871572,Didymocarpus sulphureus,Plantae,1525680,2,0,2023/06/10 9:26 AM,2023-06-10,2023-06-10 01:26:00 UTC,Kuala Lumpur,61,61,,,false,,,3208595,Pierre-Louis Stenger,2023-06-17 13:21:00 UTC,2024-10-13 18:47:26 UTC,research,CC-BY-NC,,,false
Didymocarpus sulphureus,2023-07-23 16:57:06 +0800,,"F98P+98, Tanah Rata, 39000 Tanah Rata, Pahang, Malaysia",4.4644329722,101.3869279722,"",,https://www.inaturalist.org/observations/174471840,https://static.inaturalist.org/photos/303110528/medium.jpeg,larsmannzen,174471840,Didymocarpus sulphureus,Plantae,1525680,2,0,2023-07-23 16:57:06,2023-07-23,2023-07-23 08:57:06 UTC,Kuala Lumpur,,,,,false,,,5299628,Lars Mannzen,2023-07-23 13:54:37 UTC,2024-01-28 15:52:35 UTC,research,,,2,false
Didymocarpus sulphureus,2023-07-23 10:42:00 +0800,,"Brinchang, 39000 Brinchang, Pahang, Malaysia",4.5247516667,101.3899333333,"",,https://www.inaturalist.org/observations/177241297,https://static.inaturalist.org/photos/308223667/medium.jpeg,frank375,177241297,Didymocarpus sulphureus,Plantae,1525680,2,0,2023/07/23 10:42 AM,2023-07-23,2023-07-23 02:42:00 UTC,Kuala Lumpur,,,,,false,,,2886668,Frank Walther,2023-08-07 21:29:42 UTC,2024-10-13 18:48:49 UTC,research,,,,false
Didymocarpus sulphureus,2023-12-03 13:28:00 +0800,MPY696,Malaysia,4.464793041,101.3825025792,"",,https://www.inaturalist.org/observations/195373745,https://static.inaturalist.org/photos/343693048/medium.jpeg,bridelia,195373745,Didymocarpus sulphureus,Plantae,1525680,0,0,2023/12/03 1:28 PM,2023-12-03,2023-12-03 05:28:00 UTC,Kuala Lumpur,1185,31403,obscured,,true,,,2513331,Bridelia,2023-12-31 15:31:12 UTC,2024-01-24 12:23:20 UTC,needs_id,,,,false
Didymocarpus,2023-12-08 15:16:00 +0800,,Malaysia,4.5113838991,101.2328229431,"",,https://www.inaturalist.org/observations/196834762,https://static.inaturalist.org/photos/346520956/medium.jpeg,bridelia,196834762,Didymocarpus,Plantae,576224,0,0,2023/12/08 3:16 PM,2023-12-08,2023-12-08 07:16:00 UTC,Kuala Lumpur,1059,31403,obscured,,true,,,2513331,Bridelia,2024-01-16 12:43:24 UTC,2024-01-16 13:06:06 UTC,needs_id,,,,false
Didymocarpus sulphureus,2024-05-27 15:04:47 +0800,,"Tanah Rata, 39000, Pahang, Malaysia",4.4866197,101.3755535,"",,https://www.inaturalist.org/observations/218621363,https://static.inaturalist.org/photos/386880890/medium.jpeg,larsmannzen,218621363,Didymocarpus sulphureus,Plantae,1525680,1,0,2024-05-27 15:04:47,2024-05-27,2024-05-27 07:04:47 UTC,Kuala Lumpur,,,,,false,,,5299628,Lars Mannzen,2024-05-27 12:19:54 UTC,2024-07-22 13:40:46 UTC,research,,,2,false
Didymocarpus sulphureus,1986-08-12 18:15:00 +0800,,"Mount Batu Brinchang, 39000, Perak, Malaysia",4.5175,101.3825,"",,https://www.inaturalist.org/observations/246583030,https://inaturalist-open-data.s3.amazonaws.com/photos/440237395/medium.png,barbaraparris,246583030,Didymocarpus sulphureus,Plantae,1525680,1,0,1986/08/12 6:15 PM,1986-08-12,1986-08-12 10:15:00 UTC,Kuala Lumpur,211,211,,,false,,,355160,Barbara Parris,2024-10-10 05:16:48 UTC,2024-10-24 22:19:06 UTC,research,CC-BY-NC,,,false
Didymocarpus,2003-03-26 11:22:00 +0800,"","Sarawak, MY",2.9608439624,114.8421888598,"",,https://www.inaturalist.org/observations/254690213,https://static.inaturalist.org/photos/456252509/medium.jpg,cclborneo,254690213,Didymocarpus,Plantae,576224,0,0,2003/03/26 11:22 AM,2003-03-26,2003-03-26 03:22:00 UTC,Asia/Kuching,10000,31431,obscured,,true,,,1829749,Chien Lee,2024-12-10 04:24:18 UTC,2024-12-10 04:24:18 UTC,needs_id,,,,false
Didymocarpus sulphureus,2024-04-15 08:58:00 +0800,,"39000 Cameron Highlands, Pahang, มาเลเซีย",4.4678921,101.3847868,"",,https://www.inaturalist.org/observations/257447190,https://inaturalist-open-data.s3.amazonaws.com/photos/461832599/medium.jpg,piyapong,257447190,Didymocarpus sulphureus,Plantae,1525680,1,0,2024/04/15 08:58,2024-04-15,2024-04-15 00:58:00 UTC,Kuala Lumpur,211,211,,,false,,,4517232,,2025-01-05 08:04:30 UTC,2025-01-05 13:28:23 UTC,needs_id,CC-BY-NC,,,false
Didymocarpus sulphureus,2025-06-17 12:38:12 +0800,,"Terminal Bas Tanah Rata, Tanah Rata, 39000 Tanah Rata, Pahang, Malaysia",4.4704291,101.3798097,"",,https://www.inaturalist.org/observations/290382786,https://static.inaturalist.org/photos/522378235/medium.jpg,larsmannzen,290382786,Didymocarpus sulphureus,Plantae,1525680,0,0,2025-06-17 12:38:12,2025-06-17,2025-06-17 04:38:12 UTC,Kuala Lumpur,,,,,false,,,5299628,Lars Mannzen,2025-06-17 12:34:51 UTC,2025-06-17 12:36:02 UTC,needs_id,"",,2,false
Didymocarpus sulphureus,2025-01-25 22:32:41 +0800,,Malaysia,4.5321997593,101.2009064526,"",,https://www.inaturalist.org/observations/310706778,https://inaturalist-open-data.s3.amazonaws.com/photos/560798916/medium.jpg,zhouhy,310706778,Didymocarpus sulphureus,Plantae,1525680,0,0,2025-01-25 22:32:41,2025-01-25,2025-01-25 14:32:41 UTC,Kuala Lumpur,,31403,obscured,,true,gps,gps,6632428,,2025-09-01 07:16:45 UTC,2025-09-01 07:17:20 UTC,needs_id,CC-BY-NC,,2,false
