scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Casuarina equisetifolia,2018-04-28 09:28:00 +0800,,"Seksyen 22, Petaling Jaya, Selangor, Malaysia",3.1031666667,101.625795,"",Beach Sheoak,https://www.inaturalist.org/observations/11590494,https://inaturalist-open-data.s3.amazonaws.com/photos/16556237/medium.jpeg,affan1990,11590494,Beach She-Oak,Plantae,62888,0,0,2018/04/28 9:28 AM +08,2018-04-28,2018-04-28 01:28:00 UTC,Kuala Lumpur,,,,,false,,,483128,Affan Nasaruddin,2018-04-28 09:58:16 UTC,2025-07-20 09:02:44 UTC,needs_id,CC-BY-NC,,,false
Casuarina equisetifolia,2018-04-28 09:54:46 +0800,,"43200 Kajang, Selangor, Kajang, Selangor, MY",3.0188166667,101.78205,"",Beach Sheoak,https://www.inaturalist.org/observations/11723524,https://static.inaturalist.org/photos/16763235/medium.jpg,hnanzulaikha,11723524,,Plantae,62888,0,0,Sat Apr 28 2018 09:54:46 GMT+0800 (GMT+8),2018-04-28,2018-04-28 01:54:46 UTC,Australia/Perth,6,6,,,false,,,897600,,2018-04-29 06:58:38 UTC,2018-04-29 06:58:48 UTC,needs_id,,,3,false
Casuarina equisetifolia,2018-04-29 17:53:58 +0800,,"41100 Klang, Selangor, Klang, Selangor, MY",3.0324361667,101.4400416667,"",Beach Sheoak,https://www.inaturalist.org/observations/11730780,https://static.inaturalist.org/photos/16774217/medium.jpg,hearteauni11,11730780,,Plantae,62888,0,0,Sun Apr 29 2018 17:53:58 GMT+0800 (GMT+8),2018-04-29,2018-04-29 09:53:58 UTC,Australia/Perth,5,5,,,false,,,920987,,2018-04-29 11:21:10 UTC,2018-04-29 11:21:18 UTC,needs_id,,,3,false
Casuarina equisetifolia,2018-04-30 09:08:19 +0800,,"Seksyen 9, 43650 Bandar Baru Bangi, Selangor, Malaysia",2.9589214325,101.7584915161,"",Beach Sheoak,https://www.inaturalist.org/observations/11824505,https://static.inaturalist.org/photos/16917391/medium.jpeg,jimhesnen,11824505,beach she-oak,Plantae,62888,0,0,2018-04-30 9:08:19 am GMT+08:00,2018-04-30,2018-04-30 01:08:19 UTC,Australia/Perth,,,,,false,gps,gps,682750,Najmi Ayob,2018-04-30 01:08:58 UTC,2018-04-30 01:09:12 UTC,needs_id,,,2,false
Casuarina equisetifolia,2018-04-29 18:45:27 +0800,,"Jalan USJ 13/1, Usj 13, 47630 Subang Jaya, Selangor, Malaysia",3.0370619498,101.5820135549,"",Beach Sheoak,https://www.inaturalist.org/observations/11860285,https://inaturalist-open-data.s3.amazonaws.com/photos/16975602/medium.jpeg,brandoncwq,11860285,beach she-oak,Plantae,62888,0,0,2018-04-29 6:45:27 PM MYT,2018-04-29,2018-04-29 10:45:27 UTC,Kuala Lumpur,129,129,,,false,gps,gps,908507,"",2018-04-30 08:33:01 UTC,2018-04-30 08:33:35 UTC,needs_id,CC-BY-NC,,2,false
Casuarina equisetifolia,2018-04-30 09:35:22 +0800,Strange plant growing on the ground ,"Fakulti Perubatan, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1154225881,101.6531068459,"",Beach Sheoak,https://www.inaturalist.org/observations/11861021,https://inaturalist-open-data.s3.amazonaws.com/photos/16976835/medium.jpeg,miorm_a,11861021,Beach Sheoak,Plantae,62888,1,0,2018-04-30 9:35:22 AM GMT+08:00,2018-04-30,2018-04-30 01:35:22 UTC,Perth,258,258,,open,false,gps,gps,864042,,2018-04-30 08:54:15 UTC,2023-09-21 07:40:13 UTC,needs_id,CC-BY-NC,,2,false
Casuarina equisetifolia,2018-04-30 18:47:49 +0800,,"Titiwangsa, 53200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1776440663,101.7077699304,"",Beach Sheoak,https://www.inaturalist.org/observations/11864487,https://static.inaturalist.org/photos/16981690/medium.jpeg,jason283,11864487,Beach Sheoak,Plantae,62888,1,0,2018-04-30 6:47:49 pm GMT+08:00,2018-04-30,2018-04-30 10:47:49 UTC,Australia/Perth,5504,5504,,,false,gps,gps,914532,Jason Chow,2018-04-30 10:48:24 UTC,2019-01-20 16:52:15 UTC,research,,,2,false
Casuarina equisetifolia,2018-04-30 17:59:47 +0800,,"Hulu Langat, MY-SL, MY",3.1181916667,101.7430416667,"",Beach Sheoak,https://www.inaturalist.org/observations/11882228,https://static.inaturalist.org/photos/17008300/medium.jpg,shavania,11882228,,Plantae,62888,0,0,Mon Apr 30 2018 17:59:47 GMT+0800 (GMT+8),2018-04-30,2018-04-30 09:59:47 UTC,Australia/Perth,10,10,,,false,,,909358,,2018-04-30 15:05:50 UTC,2018-08-16 17:27:36 UTC,needs_id,,,3,false
Casuarina equisetifolia,2018-04-30 17:00:12 +0800,,"1–17, Jalan USJ 13/1C, Damansara, Selangor, MY",3.0374482473,101.5819888913,"",Beach Sheoak,https://www.inaturalist.org/observations/11899846,https://static.inaturalist.org/photos/17035026/medium.jpg,alyssayu,11899846,Beach Sheoak,Plantae,62888,1,0,Mon Apr 30 2018 17:00:12 GMT+0800 (GMT+8),2018-04-30,2018-04-30 09:00:12 UTC,Perth,1602,1602,,open,false,,,908416,,2018-04-30 17:58:47 UTC,2023-10-04 16:45:01 UTC,needs_id,,,3,false
Casuarina equisetifolia,2018-04-30 16:55:11 +0800,,"1–17, Jalan USJ 13/1C, Damansara, Selangor, MY",3.0374482473,101.5819888913,"",Beach Sheoak,https://www.inaturalist.org/observations/11899886,https://static.inaturalist.org/photos/17035117/medium.jpg,alyssayu,11899886,Beach Sheoak,Plantae,62888,1,0,Mon Apr 30 2018 16:55:11 GMT+0800 (GMT+8),2018-04-30,2018-04-30 08:55:11 UTC,Perth,1476,1476,,open,false,,,908416,,2018-04-30 17:59:11 UTC,2023-09-15 19:58:55 UTC,needs_id,,,3,false
Casuarina equisetifolia,2018-04-29 16:16:00 -1000,"",pulau indah,2.949039,101.33176,"",Beach Sheoak,https://www.inaturalist.org/observations/12044907,https://inaturalist-open-data.s3.amazonaws.com/photos/17256646/medium.jpeg,nurulfitrah,12044907,Beach Sheoak,Plantae,62888,1,0,2018/04/29 4:16 PM HST,2018-04-29,2018-04-30 02:16:00 UTC,Hawaii,9686,9686,,open,false,,google,868014,Nurul Fitrah Marican,2018-05-02 16:00:56 UTC,2023-09-21 08:02:27 UTC,needs_id,CC-BY-NC,,,false
Casuarina equisetifolia,2015-07-24 14:32:00 -1000,Jpeg,"Seremban, MY-NS, MY",2.693102,101.954994,"",Beach Sheoak,https://www.inaturalist.org/observations/14432659,https://inaturalist-open-data.s3.amazonaws.com/photos/21476968/medium.jpg,ongzi,14432659,Casuarina equisetifolia,Plantae,62888,0,0,2015/07/24 2:32 PM HST,2015-07-24,2015-07-25 00:32:00 UTC,Hawaii,33,33,,,false,,,890554,Ong Jyh Seng,2018-07-17 01:48:32 UTC,2018-08-06 13:36:51 UTC,needs_id,CC-BY-SA,,,false
Casuarina equisetifolia,2017-07-22 11:04:00 -1000,,"Miri, Sarawak, Malaysia",4.4363888889,113.9961111111,"",Beach Sheoak,https://www.inaturalist.org/observations/15166432,https://inaturalist-open-data.s3.amazonaws.com/photos/22677756/medium.jpg,ongzi,15166432,Beach Sheoak,Plantae,62888,1,0,2017/07/22 11:04 AM HST,2017-07-22,2017-07-22 21:04:00 UTC,Hawaii,,,,open,false,,,890554,Ong Jyh Seng,2018-08-06 12:55:17 UTC,2022-05-28 03:48:41 UTC,research,CC-BY-SA,,,false
Casuarina equisetifolia,2018-08-27 18:16:58 +0800,,"11100, Batu Feringgi, Penang, MY",5.4762283333,100.2501,"",Beach Sheoak,https://www.inaturalist.org/observations/15943614,https://inaturalist-open-data.s3.amazonaws.com/photos/23857590/medium.jpg,al_kordesch,15943614,Beach Sheoak,Plantae,62888,1,0,Mon Aug 27 2018 18:16:58 GMT+0800 (GMT+8),2018-08-27,2018-08-27 10:16:58 UTC,Australia/Perth,65,65,,,false,,,516849,Al Kordesch,2018-08-27 13:41:48 UTC,2018-08-27 13:49:39 UTC,research,CC0,,3,false
Casuarina equisetifolia,2010-12-17 08:14:00 +0800,,"Taman Sri Kamban, Seremban, Negeri Sembilan, Malaysia",2.6912699204,101.9598770606,"",Beach Sheoak,https://www.inaturalist.org/observations/17588307,https://inaturalist-open-data.s3.amazonaws.com/photos/26778449/medium.jpeg,ongzi,17588307,Casuarina equisetifolia,Plantae,62888,0,0,2010/12/17 8:14 AM +08,2010-12-17,2010-12-17 00:14:00 UTC,Kuala Lumpur,31,31,,,false,,,890554,Ong Jyh Seng,2018-10-17 08:55:18 UTC,2018-10-17 08:55:18 UTC,needs_id,CC-BY-SA,,,false
Casuarina equisetifolia,2010-12-17 08:14:00 +0800,,"Taman Sri Kamban, Seremban, Negeri Sembilan, Malaysia",2.6912699204,101.9598770606,"",Beach Sheoak,https://www.inaturalist.org/observations/17588308,https://inaturalist-open-data.s3.amazonaws.com/photos/26778453/medium.jpeg,ongzi,17588308,Casuarina equisetifolia,Plantae,62888,0,0,2010/12/17 8:14 AM +08,2010-12-17,2010-12-17 00:14:00 UTC,Kuala Lumpur,31,31,,,false,,,890554,Ong Jyh Seng,2018-10-17 08:55:19 UTC,2018-10-17 08:55:19 UTC,needs_id,CC-BY-SA,,,false
Casuarina equisetifolia,2010-04-03 16:34:00 +0800,,"Taman Sri Kamban, Seremban, Negeri Sembilan, Malaysia",2.6912699204,101.9598770606,"",Beach Sheoak,https://www.inaturalist.org/observations/17588309,https://inaturalist-open-data.s3.amazonaws.com/photos/26778452/medium.jpeg,ongzi,17588309,Casuarina equisetifolia,Plantae,62888,0,0,2010/04/03 4:34 PM +08,2010-04-03,2010-04-03 08:34:00 UTC,Kuala Lumpur,31,31,,,false,,,890554,Ong Jyh Seng,2018-10-17 08:55:19 UTC,2018-10-17 08:55:19 UTC,needs_id,CC-BY-SA,,,false
Casuarina equisetifolia,2018-10-30 12:26:00 +0800,,"Bagan Lalang, Tanjong Sepat, Selangor, Malaysia",2.6043248481,101.6881472601,"",Beach Sheoak,https://www.inaturalist.org/observations/17956411,https://inaturalist-open-data.s3.amazonaws.com/photos/27440370/medium.jpg,ongzi,17956411,木麻黃,Plantae,62888,2,0,2018/10/30 12:26 PM +08,2018-10-30,2018-10-30 04:26:00 UTC,Kuala Lumpur,8,8,,,false,,,890554,Ong Jyh Seng,2018-10-30 09:10:31 UTC,2021-05-20 07:06:31 UTC,research,CC-BY-SA,,,false
Casuarina equisetifolia,2018-06-19 13:35:50 +0800,,"Morib Golf Club, Morib, Selangor, MY",2.7480133333,101.443405,"",Beach Sheoak,https://www.inaturalist.org/observations/18526966,https://static.inaturalist.org/photos/28341154/medium.jpg,zalshatrie,18526966,Beach Sheoak,Plantae,62888,1,0,Tue Jun 19 2018 13:35:50 GMT+0800 (GMT+8),2018-06-19,2018-06-19 05:35:50 UTC,Australia/Perth,8,8,,,false,,,1359689,,2018-11-21 00:28:35 UTC,2018-11-25 01:00:12 UTC,research,,,3,false
Casuarina equisetifolia,2019-02-17 16:31:01 +0800,,"6, Lorong Air Terjun, Mukim 18 (Tanjung Tokong), Penang, MY",5.4307633499,100.2996735648,"",Beach Sheoak,https://www.inaturalist.org/observations/20414457,https://inaturalist-open-data.s3.amazonaws.com/photos/31520645/medium.jpg,chuyuzhe,20414457,Beach Sheoak,Plantae,62888,2,0,Sun Feb 17 2019 16:31:01 GMT+0800 (GMT+8),2019-02-17,2019-02-17 08:31:01 UTC,Australia/Perth,5,5,,,false,,,1477502,"",2019-02-17 08:31:39 UTC,2019-02-18 05:59:55 UTC,research,CC-BY-NC,,3,false
Casuarina equisetifolia,2019-02-21 11:32:54 +0800,,"Jalan Batu Nampak (Parit Ulu), 84200 Bukit Bakri, Johor, Malaysia",2.0591165219,102.6316738408,"",Beach Sheoak,https://www.inaturalist.org/observations/20525980,https://inaturalist-open-data.s3.amazonaws.com/photos/31684860/medium.jpeg,ongzi,20525980,Beach Sheoak,Plantae,62888,1,0,2019-02-21 11:32:54 am GMT+08:00,2019-02-21,2019-02-21 03:32:54 UTC,Kuala Lumpur,9,9,,,false,,,890554,Ong Jyh Seng,2019-02-21 05:29:16 UTC,2019-02-21 12:06:36 UTC,research,CC-BY-SA,,2,false
Casuarina equisetifolia,2019-02-23 09:21:35 +0800,,"Jalan Hassan Abas, Pulau Pinang, Malaysia",5.4608112574,100.2053815126,"",Beach Sheoak,https://www.inaturalist.org/observations/20571088,https://inaturalist-open-data.s3.amazonaws.com/photos/31756904/medium.jpeg,fiqzainalofficial_,20571088,Beach Sheoak,Plantae,62888,0,0,2019-02-23 9:21:35 AM MYT,2019-02-23,2019-02-23 01:21:35 UTC,Kuala Lumpur,22,22,,,false,,,1486816,,2019-02-23 01:24:03 UTC,2019-02-23 01:24:26 UTC,needs_id,CC-BY-NC,,2,false
Casuarina equisetifolia,2019-02-23 09:27:59 +0800,,"Unnamed Road, 10470 George Town, Pulau Pinang, Malaysia",5.4385333333,100.290785,"",Beach Sheoak,https://www.inaturalist.org/observations/20571592,https://static.inaturalist.org/photos/31757632/medium.jpeg,chanyinzheng,20571592,Beach Sheoak,Plantae,62888,0,0,2019-02-23 9:27:59 AM GMT+08:00,2019-02-23,2019-02-23 01:27:59 UTC,Australia/Perth,7,7,,,false,,,1487167,Chan yin zheng,2019-02-23 01:28:47 UTC,2019-02-23 01:30:45 UTC,needs_id,,,2,false
