scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Avicennia marina,2018-11-01 02:25:49 +0800,,"1, Jalan Seremban, Kampung Dhobi, 71000 Port Dickson, Negeri Sembilan, Malaysia",2.5276023091,101.7899494618,"",Grey Mangrove,https://www.inaturalist.org/observations/18002423,https://inaturalist-open-data.s3.amazonaws.com/photos/27520341/medium.jpeg,johnhowes,18002423,Grey Mangrove,Plantae,75723,1,0,2018-11-01 10:25:49 am GMT+08:00,2018-11-01,2018-10-31 18:25:49 UTC,Perth,33,33,,open,false,gps,gps,1043349,John Howes,2018-11-01 04:05:27 UTC,2024-08-23 16:41:03 UTC,research,CC-BY,,2,false
Avicennia marina,2019-04-27 18:49:35 +0800,,"Jalan Sultanah, Taman Sri Tanjung, 84000 Muar, Johor, Malaysia",2.0448711659,102.5490339377,"",Grey Mangrove,https://www.inaturalist.org/observations/23338707,https://inaturalist-open-data.s3.amazonaws.com/photos/36157951/medium.jpeg,azzreiz,23338707,Grey Mangrove,Plantae,75723,0,0,2019-04-27 6:49:35 pm GMT+08:00,2019-04-27,2019-04-27 10:49:35 UTC,Australia/Perth,3,3,,open,false,,,1662077,,2019-04-27 10:52:26 UTC,2019-04-27 10:52:39 UTC,needs_id,CC-BY-NC,,2,false
Avicennia marina,2019-04-28 00:00:00 +0000,,"Gelugor, Penang, Malaysia",5.3529346496,100.3129340816,"",Grey Mangrove,https://www.inaturalist.org/observations/23678289,https://inaturalist-open-data.s3.amazonaws.com/photos/36645690/medium.jpeg,hongjing,23678289,Grey Mangrove,Plantae,75723,1,0,2019/04/28 9:35 AM UTC,2019-04-28,,UTC,122,122,,open,false,,,1390603,"",2019-04-28 17:18:16 UTC,2025-05-26 12:13:14 UTC,research,CC-BY-NC,,,false
Avicennia marina,2017-02-13 00:00:00 +0000,"","Кучинг, Сарауак, Малайзия, Борнео",1.7200800673,110.4466912919,"",Grey Mangrove,https://www.inaturalist.org/observations/31198175,https://inaturalist-open-data.s3.amazonaws.com/photos/48804737/medium.jpeg,valentinaborodulina,31198175,Grey Mangrove,Plantae,75723,1,0,2017/02/13 3:59 AM UTC,2017-02-13,,UTC,139,139,,open,false,,,2031844,Valentina Borodulina,2019-08-20 20:59:32 UTC,2021-09-01 12:49:52 UTC,research,CC-BY-NC,,,false
Avicennia marina,2017-07-22 17:37:00 +0800,"",馬來西亞砂拉越古晉,1.7338379371,110.4658942046,"",Grey Mangrove,https://www.inaturalist.org/observations/39573127,https://inaturalist-open-data.s3.amazonaws.com/photos/62795358/medium.jpeg,chenshu,39573127,海茄冬,Plantae,75723,0,0,2017/07/22 5:37 PM CST,2017-07-22,2017-07-22 09:37:00 UTC,Taipei,952,952,,open,false,,,1646783,Chen Shu,2020-03-05 15:57:13 UTC,2023-12-08 13:29:52 UTC,needs_id,CC-BY-NC,,,false
Avicennia marina,2013-07-26 19:10:00 +0800,"","Pantai Bagan Lalang, Kg Bagan Lalang, Bagan Lalang, 43950 Sungai Pelek, Selangor, Malaysia",2.6311781844,101.6239312676,"",Grey Mangrove,https://www.inaturalist.org/observations/40282075,https://inaturalist-open-data.s3.amazonaws.com/photos/63988809/medium.jpeg,johnhowes,40282075,Grey Mangrove,Plantae,75723,0,0,2013/07/26 7:10 PM +0800,2013-07-26,2013-07-26 11:10:00 UTC,Kuala Lumpur,244,244,,open,false,,,1043349,John Howes,2020-03-20 06:57:29 UTC,2024-08-23 16:41:03 UTC,needs_id,CC-BY,,,false
Avicennia marina,2021-01-15 14:47:27 +0800,,"Pulau Bagan Pinang, 71000, 71000, Negeri Sembilan, Malaysia",2.5075142017,101.8261706829,"",Grey Mangrove,https://www.inaturalist.org/observations/68098861,https://inaturalist-open-data.s3.amazonaws.com/photos/110183775/medium.jpeg,johnhowes,68098861,Grey Mangrove,Plantae,75723,1,0,2021-01-15 2:47:27 PM GMT+08:00,2021-01-15,2021-01-15 06:47:27 UTC,Kuala Lumpur,212,212,,open,false,gps,gps,1043349,John Howes,2021-01-15 11:21:00 UTC,2024-08-23 16:41:03 UTC,research,CC-BY,,2,false
Avicennia marina australasica,2021-05-02 07:57:00 UTC,,"Johor Bahru, Johor, Malaysia",1.4667365194,103.7138765272,"",Grey Mangrove,https://www.inaturalist.org/observations/77282464,https://static.inaturalist.org/photos/126379858/medium.jpeg,blum-ww,77282464,Manawa,Plantae,181928,0,0,2021/05/02 7:57 AM UTC,2021-05-02,2021-05-02 07:57:00 UTC,UTC,3475,3475,,open,false,,,2602723,Lum ww,2021-05-04 15:19:16 UTC,2021-05-04 15:19:16 UTC,needs_id,,,,false
Avicennia marina,2021-05-02 12:07:00 +1300,"","Tanjung Piai, 82300 Kukup, Johor, Malaysia",1.2694402838,103.5100911682,"",Grey Mangrove,https://www.inaturalist.org/observations/77574596,https://inaturalist-open-data.s3.amazonaws.com/photos/126878984/medium.jpeg,laipeng,77574596,Grey Mangrove,Plantae,75723,1,0,2021/05/02 12:07 PM SST,2021-05-02,2021-05-01 23:07:00 UTC,Samoa,15,15,,open,false,,,2601269,,2021-05-06 08:25:27 UTC,2021-06-11 06:44:54 UTC,research,CC-BY-NC,,,false
Avicennia marina,2021-05-08 12:03:36 +0800,,"PD Beach & Mangroves, 71000 Port Dickson, Negeri Sembilan, Malaysia",2.5214884536,101.8161730841,"",Grey Mangrove,https://www.inaturalist.org/observations/77853154,https://inaturalist-open-data.s3.amazonaws.com/photos/127357697/medium.jpeg,johnhowes,77853154,海茄冬,Plantae,75723,1,0,2021-05-08 12:03:36,2021-05-08,2021-05-08 04:03:36 UTC,Kuala Lumpur,101,101,,open,false,gps,gps,1043349,John Howes,2021-05-08 05:08:04 UTC,2024-08-23 16:41:03 UTC,research,CC-BY,,2,false
Avicennia marina,2021-05-08 12:04:46 +0800,,"PD Beach & Mangroves, 71000 Port Dickson, Negeri Sembilan, Malaysia",2.5214884536,101.8161730841,"",Grey Mangrove,https://www.inaturalist.org/observations/77853211,https://inaturalist-open-data.s3.amazonaws.com/photos/127357834/medium.jpeg,johnhowes,77853211,海茄冬,Plantae,75723,1,0,2021-05-08 12:04:46,2021-05-08,2021-05-08 04:04:46 UTC,Kuala Lumpur,101,101,,open,false,gps,gps,1043349,John Howes,2021-05-08 05:08:53 UTC,2024-08-23 16:41:03 UTC,research,CC-BY,,2,false
